locationid;groupid;recordid;nombre_audio;pitch_f0_hz_mean;pitch_f0_hz_std;inharmonicity_mean;inharmonicity_std;chroma_mean;chroma_std;spectral_centroid_mean;spectral_centroid_std;spectral_spread_mean;spectral_spread_std;spectral_skewness_mean;spectral_skewness_std;spectral_flatness_mean;spectral_flatness_std;spectral_flux_mean;spectral_flux_std;spectral_rolloff_mean;spectral_rolloff_std;rms_energy_mean;rms_energy_std;zero_crossing_rate_mean;zero_crossing_rate_std;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;mfcc_14_mean;mfcc_14_std;mfcc_15_mean;mfcc_15_std;mfcc_16_mean;mfcc_16_std;mfcc_17_mean;mfcc_17_std;mfcc_18_mean;mfcc_18_std;mfcc_19_mean;mfcc_19_std;mfcc_20_mean;mfcc_20_std
CarloV;2CV12;1434;2cv12;93,9553812125461;21,538397735893778;0,18074316884455763;0,10235522684531115;0,4613057;0,2922203;1896,7419685718087;515,4825709291463;3259,638950283055;622,4730451438725;9,638182;2,995394;0,0017699983;0,002136197;1,6960783;0,8443226;3606,123949333208;1602,7211395579134;0,027066994;0,0117035005;0,028878662659654396;0,00946681535406064;-328,96713;32,11604;167,41437;19,325851;0,89008534;12,158646;23,189814;10,549007;6,179283;11,448478;10,572351;9,63617;-8,537605;7,9930234;5,319995;8,356124;-2,9558668;7,943227;2,6597652;6,814927;0,42105994;7,054338;2,5887609;6,8212595;-2,9407814;6,696325;2,70606;6,3437057;4,9479775;6,091371;0,97831553;5,627525;1,1454885;5,722971;1,2503592;5,7044854;1,0465758;5,730252;-0,92490804;5,6133504
CarloV;2CV12;1435;2cv12;93,9553812125461;21,538397735893778;0,18074316884455763;0,10235522684531115;0,4613057;0,2922203;1896,7419685718087;515,4825709291463;3259,638950283055;622,4730451438725;9,638182;2,995394;0,0017699983;0,002136197;1,6960783;0,8443226;3606,123949333208;1602,7211395579134;0,027066994;0,0117035005;0,028878662659654396;0,00946681535406064;-328,96713;32,11604;167,41437;19,325851;0,89008534;12,158646;23,189814;10,549007;6,179283;11,448478;10,572351;9,63617;-8,537605;7,9930234;5,319995;8,356124;-2,9558668;7,943227;2,6597652;6,814927;0,42105994;7,054338;2,5887609;6,8212595;-2,9407814;6,696325;2,70606;6,3437057;4,9479775;6,091371;0,97831553;5,627525;1,1454885;5,722971;1,2503592;5,7044854;1,0465758;5,730252;-0,92490804;5,6133504
CarloV;2CV13;1430;2cv13;80,37353514696443;18,304678123229408;0,17964377358535108;0,11288026527175694;0,6165485;0,2638055;1222,4954273526625;389,0940288046704;2425,590671918201;425,01898405440073;16,414698;5,147232;0,00028806704;0,0005927305;1,3637391;0,67680544;2344,717547510833;987,0202511052726;0,053053368;0,0411147;0,012815267049736246;0,009079825134533344;-337,57657;21,257967;156,18227;13,078765;5,6223264;11,760047;16,617172;10,434977;22,151802;8,842428;1,7488816;7,9682817;4,999346;6,915211;8,845388;6,308314;6,617128;6,5566173;5,8265457;6,0840898;5,4332404;5,572188;3,275866;5,642428;1,5892013;5,142795;5,758639;5,4089336;6,6585407;5,114344;2,534186;4,8007817;4,1279984;4,8556414;4,6341653;4,8772063;1,7466072;4,913659;2,8692732;5,0166216
CarloV;2CV13;1431;2cv13;80,37353514696443;18,304678123229408;0,17964377358535108;0,11288026527175694;0,6165485;0,2638055;1222,4954273526625;389,0940288046704;2425,590671918201;425,01898405440073;16,414698;5,147232;0,00028806704;0,0005927305;1,3637391;0,67680544;2344,717547510833;987,0202511052726;0,053053368;0,0411147;0,012815267049736246;0,009079825134533344;-337,57657;21,257967;156,18227;13,078765;5,6223264;11,760047;16,617172;10,434977;22,151802;8,842428;1,7488816;7,9682817;4,999346;6,915211;8,845388;6,308314;6,617128;6,5566173;5,8265457;6,0840898;5,4332404;5,572188;3,275866;5,642428;1,5892013;5,142795;5,758639;5,4089336;6,6585407;5,114344;2,534186;4,8007817;4,1279984;4,8556414;4,6341653;4,8772063;1,7466072;4,913659;2,8692732;5,0166216
CarloV;2CV13;1432;2cv13;80,37353514696443;18,304678123229408;0,17964377358535108;0,11288026527175694;0,6165485;0,2638055;1222,4954273526625;389,0940288046704;2425,590671918201;425,01898405440073;16,414698;5,147232;0,00028806704;0,0005927305;1,3637391;0,67680544;2344,717547510833;987,0202511052726;0,053053368;0,0411147;0,012815267049736246;0,009079825134533344;-337,57657;21,257967;156,18227;13,078765;5,6223264;11,760047;16,617172;10,434977;22,151802;8,842428;1,7488816;7,9682817;4,999346;6,915211;8,845388;6,308314;6,617128;6,5566173;5,8265457;6,0840898;5,4332404;5,572188;3,275866;5,642428;1,5892013;5,142795;5,758639;5,4089336;6,6585407;5,114344;2,534186;4,8007817;4,1279984;4,8556414;4,6341653;4,8772063;1,7466072;4,913659;2,8692732;5,0166216
CarloV;2CV14;1443;2cv14;87,96231992420657;21,137710289522758;0,18336021897103535;0,11697511980691594;0,6153586;0,23396923;1782,973720692017;547,6175616516276;3159,172345339736;539,7552096719219;12,400588;4,4211802;0,0014185196;0,002305872;1,5693194;0,92275316;3522,1240013433257;1500,9598012972756;0,01598383;0,0057715164;0,023778486755279035;0,013899880342538608;-388,9826;25,59395;168,23518;16,056671;-3,6097808;10,519844;28,029356;9,389376;5,740007;9,029436;8,477959;7,4232635;-0,7550098;6,9012876;11,66324;6,800775;2,13488;6,2961802;3,9750807;6,4391484;1,7965521;5,5599933;3,3444636;5,2424707;-0,93443197;5,6401734;2,6660256;5,230147;4,1187553;4,9346848;0,15381181;4,8382444;2,55516;5,2384367;0,6967064;4,7923603;0,7657996;4,6288915;0,5137043;4,9783096
CarloV;2CV21;1428;2cv21;109,92706759687;28,31433963535145;0,2125747160628187;0,14545200536248012;0,63914084;0,2389399;1556,9615747530852;510,3617551664484;3089,7222590603546;532,0845573769661;17,162497;4,353716;0,00070539117;0,0014530282;1,5586196;0,8313675;2898,6184206611765;1442,072244073484;0,035676297;0,015684241;0,013120373786176694;0,009599354071843053;-361,61334;25,7152;162,35046;15,408871;1,4509959;11,378372;22,538275;9,879422;7,189633;8,156229;10,9914465;7,0042486;-0,3630075;5,98612;10,351273;6,301839;3,5711534;5,9122663;6,563312;5,5758314;4,81556;5,3929367;4,9820967;5,184839;1,811534;4,885592;6,16339;5,1638;6,452411;5,0264564;2,4262807;4,4455442;4,7404356;4,7798676;1,9858311;4,766442;1,123323;4,546763;0,9721278;4,5857844
CarloV;2CV22;1429;2cv22;90,32580709415566;27,364175806845907;0,185985959678689;0,11717534482348411;0,6715561;0,23155844;1575,75397640751;426,5310288440544;2960,558124818;392,0053974607473;17,537544;4,952917;0,0006701727;0,00085656275;1,3063879;0,3832077;3184,8977859820775;1047,4597828677126;0,035358723;0,029372923;0,01406264287673738;0,010653403277463966;-356,87808;13,695264;146,36678;8,76696;1,8156178;7,261886;21,738188;6,7760983;17,100279;6,9692183;2,0218952;5,703982;6,0587697;5,3249583;7,7599697;5,300296;8,752934;4,6390114;6,074531;4,7686176;6,511288;4,5824733;4,284058;4,5686846;1,3018466;4,6709085;5,3536763;4,846829;4,932103;4,1658587;1,0770372;4,185312;2,7204883;4,169469;2,2717955;4,0510716;0,38274744;4,1883664;1,2434934;4,2330284
CarloV;2CV32;1436;2cv32;94,8210426977953;26,082334501269973;0,20874837055105447;0,10774388102452802;0,520614;0,27418435;1572,8640126587918;452,7809238198769;2876,4143183610813;479,7698171673971;11,594724;3,7595286;0,00082343054;0,0014122663;1,5764986;0,66256887;2853,6203513857467;1234,7373478655372;0,024987267;0,010814014;0,02283653846153846;0,011169764927925294;-357,91626;25,218752;174,97462;16,80526;0,2075003;12,743995;22,32256;10,943242;8,079704;11,205404;8,700733;9,045504;-3,8232386;8,571948;6,845587;7,943465;3,0855694;6,8937864;3,1983905;7,112586;3,7057357;6,452784;3,18084;6,3023553;0,4798925;6,128684;2,5312438;5,791439;5,675151;5,5900583;0,77798736;5,482496;2,364038;5,348194;2,8246133;5,2995763;0,9968759;5,423109;0,58891165;5,3048415
CarloV;2CV32;1437;2cv32;94,8210426977953;26,082334501269973;0,20874837055105447;0,10774388102452802;0,520614;0,27418435;1572,8640126587918;452,7809238198769;2876,4143183610813;479,7698171673971;11,594724;3,7595286;0,00082343054;0,0014122663;1,5764986;0,66256887;2853,6203513857467;1234,7373478655372;0,024987267;0,010814014;0,02283653846153846;0,011169764927925294;-357,91626;25,218752;174,97462;16,80526;0,2075003;12,743995;22,32256;10,943242;8,079704;11,205404;8,700733;9,045504;-3,8232386;8,571948;6,845587;7,943465;3,0855694;6,8937864;3,1983905;7,112586;3,7057357;6,452784;3,18084;6,3023553;0,4798925;6,128684;2,5312438;5,791439;5,675151;5,5900583;0,77798736;5,482496;2,364038;5,348194;2,8246133;5,2995763;0,9968759;5,423109;0,58891165;5,3048415
