locationid;sessionid;groupid;recordid;recordinglength;nombre_audio_empleado
CarloV;CarloV2;2CV12;1434;30,88;2cv12
CarloV;CarloV2;2CV12;1435;30,88;2cv12
CarloV;CarloV2;2CV13;1430;30,79;2cv13
CarloV;CarloV2;2CV13;1431;30,79;2cv13
CarloV;CarloV2;2CV13;1432;30,79;2cv13
CarloV;CarloV2;2CV14;1443;30,77;2cv14
CarloV;CarloV2;2CV21;1428;30,46;2cv21
CarloV;CarloV2;2CV22;1429;31,72;2cv22
CarloV;CarloV2;2CV32;1436;30,77;2cv32
CarloV;CarloV2;2CV32;1437;30,77;2cv32
CarloV;CarloV2;2CV32;1438;30,77;2cv32
CarloV;CarloV2;2CV32;1439;30,77;2cv32
CarloV;CarloV2;2CV32;1440;30,77;2cv32
CarloV;CarloV2;2CV32;1441;30,77;2cv32
CarloV;CarloV2;2CV32;1442;30,77;2cv32
CarloV;CarloV2;2CV41;1433;31,07;2cv41
CarloV;CarloV2;2CV51;1427;29,0;2cv51
CarloV;CarloV2;2CV62;1407;30,77;2cv62
CarloV;CarloV2;2CV62;1408;30,77;2cv62
CarloV;CarloV2;2CV62;1409;30,77;2cv62
CarloV;CarloV2;2CV62;1410;30,77;2cv62
CarloV;CarloV2;2CV62;1411;30,77;2cv62
CarloV;CarloV2;2CV62;1412;30,77;2cv62
CarloV;CarloV2;2CV62;1413;30,77;2cv62
CarloV;CarloV2;2CV62;1414;30,77;2cv62
CarloV;CarloV2;2CV62;1415;30,77;2cv62
CarloV;CarloV2;2CV62;1416;30,77;2cv62
CarloV;CarloV2;2CV62;1417;30,77;2cv62
CarloV;CarloV2;2CV62;1418;30,77;2cv62
CarloV;CarloV2;2CV62;1419;30,77;2cv62
CarloV;CarloV2;2CV62;1420;30,77;2cv62
CarloV;CarloV2;2CV62;1421;30,77;2cv62
CarloV;CarloV2;2CV62;1422;30,77;2cv62
CarloV;CarloV2;2CV62;1423;30,77;2cv62
CarloV;CarloV2;2CV62;1424;30,77;2cv62
SanMarco;SanMarco1;AM06;30;33,83;am06
SanMarco;SanMarco1;AM06;31;33,83;am06
SanMarco;SanMarco1;AM07;32;30,46;am07
PlazaBibRambla;PlazaBibRambla1;BIB11;1457;32,47;bib11
PlazaBibRambla;PlazaBibRambla1;BIB14;1444;30,81;bib14
PlazaBibRambla;PlazaBibRambla1;BIB5;1454;36,14;bib5
PlazaBibRambla;PlazaBibRambla1;BIB5;1455;36,14;bib5
CamdenTown;CamdenTown1;CT101;525;31,57;ct101
CamdenTown;CamdenTown1;CT101;526;31,57;ct101
CamdenTown;CamdenTown1;CT101;561;31,57;ct101
CamdenTown;CamdenTown1;CT102;560;32,47;ct102
CamdenTown;CamdenTown1;CT103;527;35,16;ct103
CamdenTown;CamdenTown1;CT104;528;31,96;ct104
CamdenTown;CamdenTown1;CT107;559;31,32;ct107
CamdenTown;CamdenTown1;CT108;531;27,26;ct108
CamdenTown;CamdenTown1;CT109;532;31,53;ct109
CamdenTown;CamdenTown1;CT109;557;31,53;ct109
CamdenTown;CamdenTown1;CT109;558;31,53;ct109
CamdenTown;CamdenTown1;CT110;556;31,66;ct110
CamdenTown;CamdenTown1;CT112;534;33,71;ct112
CamdenTown;CamdenTown1;CT112;554;33,71;ct112
CamdenTown;CamdenTown1;CT113;535;20,64;ct113
CamdenTown;CamdenTown1;CT113;553;20,64;ct113
CamdenTown;CamdenTown1;CT114;536;25,0;ct114
CamdenTown;CamdenTown1;CT116;538;33,71;ct116
CamdenTown;CamdenTown1;CT116;550;33,71;ct116
CamdenTown;CamdenTown1;CT117;539;32,68;ct117
CamdenTown;CamdenTown1;CT117;549;32,68;ct117
CamdenTown;CamdenTown1;CT119;541;19,69;ct119
CamdenTown;CamdenTown1;CT120;542;33,75;ct120
CamdenTown;CamdenTown1;CT121;547;32,43;ct121
CamdenTown;CamdenTown1;CT122;543;31,79;ct122
CamdenTown;CamdenTown1;CT123;544;31,57;ct123
CamdenTown;CamdenTown1;CT124;545;34,22;ct124
CamdenTown;CamdenTown1;CT124;546;34,22;ct124
CamdenTown;CamdenTown2;CT201;563;33,75;ct201
CamdenTown;CamdenTown2;CT201;570;33,75;ct201
CamdenTown;CamdenTown2;CT202;564;33,88;ct202
CamdenTown;CamdenTown2;CT202;569;33,88;ct202
CamdenTown;CamdenTown2;CT203;567;31,87;ct203
CamdenTown;CamdenTown2;CT203;568;31,87;ct203
CamdenTown;CamdenTown3;CT301;585;40,47;ct301
CamdenTown;CamdenTown3;CT305;588;48,46;ct305
CamdenTown;CamdenTown3;CT305;614;48,46;ct305
CamdenTown;CamdenTown3;CT306;589;31,42;ct306
CamdenTown;CamdenTown3;CT308;590;33,37;ct308
CamdenTown;CamdenTown3;CT308;613;33,37;ct308
CamdenTown;CamdenTown3;CT309;591;45,58;ct309
CamdenTown;CamdenTown3;CT310;592;32,37;ct310
CamdenTown;CamdenTown3;CT311;593;42,35;ct311
CamdenTown;CamdenTown3;CT311;623;42,35;ct311
CamdenTown;CamdenTown3;CT312;594;39,75;ct312
CamdenTown;CamdenTown3;CT312;595;39,75;ct312
CamdenTown;CamdenTown3;CT312;622;39,75;ct312
CamdenTown;CamdenTown3;CT313;596;41,31;ct313
CamdenTown;CamdenTown3;CT313;621;41,31;ct313
CamdenTown;CamdenTown3;CT314;597;37,76;ct314
CamdenTown;CamdenTown3;CT315;598;38,36;ct315
CamdenTown;CamdenTown3;CT317;599;30,72;ct317
CamdenTown;CamdenTown3;CT318;600;42,49;ct318
CamdenTown;CamdenTown3;CT318;611;42,49;ct318
CamdenTown;CamdenTown3;CT319;601;37,11;ct319
CamdenTown;CamdenTown3;CT320;602;30,81;ct320
CamdenTown;CamdenTown3;CT321;603;30,66;ct321
CamdenTown;CamdenTown3;CT321;610;30,66;ct321
CamdenTown;CamdenTown3;CT322;604;31,34;ct322
CamdenTown;CamdenTown3;CT322;620;31,34;ct322
CamdenTown;CamdenTown3;CT324;609;33,48;ct324
CamdenTown;CamdenTown3;CT325;605;40,73;ct325
CamdenTown;CamdenTown3;CT326;606;36,15;ct326
CamdenTown;CamdenTown3;CT327;616;46,65;ct327
CamdenTown;CamdenTown3;CT327;618;46,65;ct327
CamdenTown;CamdenTown3;CT328;607;50,36;ct328
CamdenTown;CamdenTown3;CT328;617;50,36;ct328
CamdenTown;CamdenTown3;CT329;608;32,11;ct329
CamdenTown;CamdenTown4;CT401;1219;35,06;ct401
CamdenTown;CamdenTown4;CT402;1239;31,49;ct402
CamdenTown;CamdenTown4;CT403;1220;36,36;ct403
CamdenTown;CamdenTown4;CT404;1221;31,37;ct404
CamdenTown;CamdenTown4;CT405;1222;31,79;ct405
CamdenTown;CamdenTown4;CT406;1223;34,53;ct406
CamdenTown;CamdenTown4;CT407;1224;35,57;ct407
CamdenTown;CamdenTown4;CT407;1225;35,57;ct407
CamdenTown;CamdenTown4;CT408;1226;34,27;ct408
CamdenTown;CamdenTown4;CT412;1229;31,95;ct412
CamdenTown;CamdenTown4;CT412;1231;31,95;ct412
CamdenTown;CamdenTown4;CT412;1232;31,95;ct412
CamdenTown;CamdenTown4;CT412;1233;31,95;ct412
CamdenTown;CamdenTown4;CT412;1234;31,95;ct412
CamdenTown;CamdenTown4;CT413;1235;38,31;ct413
CamdenTown;CamdenTown4;CT414;1236;30,0;ct414
CamdenTown;CamdenTown4;CT414;1237;30,0;ct414
CamdenTown;CamdenTown4;CT414;1240;30,0;ct414
CamdenTown;CamdenTown4;CT415;1238;36,83;ct415
CarloV;CarloV1;CV14;1395;30,59;cv14
CarloV;CarloV1;CV14;1396;30,59;cv14
CarloV;CarloV1;CV14;1397;30,59;cv14
CarloV;CarloV1;CV15;1394;30,38;cv15
CarloV;CarloV1;CV16;1398;30,72;cv16
CarloV;CarloV1;CV212;1403;30,89;cv212
CarloV;CarloV1;CV212;1404;30,89;cv212
CarloV;CarloV1;CV23;573;31,4;cv23
CarloV;CarloV1;CV31;577;32,94;cv31
CarloV;CarloV1;CV33;580;24,0;cv33
CarloV;CarloV1;CV35;581;30,93;cv35
CarloV;CarloV1;CV37;582;30,63;cv37
CarloV;CarloV1;CV38;583;32,09;cv38
CarloV;CarloV1;CV39;584;31,83;cv39
CarloV;CarloV1;CV42;1399;30,34;cv42
CarloV;CarloV1;CV45;1405;30,63;cv45
CarloV;CarloV1;CV45;1406;30,63;cv45
EustonTap;EustonTap1;ET101;1284;34,35;et101
EustonTap;EustonTap1;ET101;1285;34,35;et101
EustonTap;EustonTap1;ET103;1286;34,35;et103
EustonTap;EustonTap1;ET103;1287;34,35;et103
EustonTap;EustonTap1;ET103;1288;34,35;et103
EustonTap;EustonTap1;ET104;1289;42,92;et104
EustonTap;EustonTap1;ET105;1290;36,78;et105
EustonTap;EustonTap1;ET105;1291;36,78;et105
EustonTap;EustonTap1;ET106;1292;48,34;et106
EustonTap;EustonTap1;ET106;1293;48,34;et106
EustonTap;EustonTap1;ET107;1294;41,64;et107
EustonTap;EustonTap1;ET108;1295;37,12;et108
EustonTap;EustonTap1;ET109;1296;35,67;et109
EustonTap;EustonTap1;ET109;1298;35,67;et109
EustonTap;EustonTap1;ET110;1297;38,95;et110
EustonTap;EustonTap1;ET110;1299;38,95;et110
EustonTap;EustonTap1;ET111;1300;34,52;et111
EustonTap;EustonTap1;ET111;1301;34,52;et111
EustonTap;EustonTap1;ET112;1302;33,88;et112
EustonTap;EustonTap1;ET113;1303;46,42;et113
EustonTap;EustonTap1;ET115;1306;34,35;et115
EustonTap;EustonTap1;ET115;1308;34,35;et115
EustonTap;EustonTap1;ET115;1309;34,35;et115
EustonTap;EustonTap1;ET116;1305;33,88;et116
EustonTap;EustonTap1;ET117;1311;40,77;et117
EustonTap;EustonTap1;ET118;1307;33,96;et118
EustonTap;EustonTap1;ET118;1310;33,96;et118
EustonTap;EustonTap1;ET118;1312;33,96;et118
EustonTap;EustonTap1;ET118;1313;33,96;et118
EustonTap;EustonTap1;ET119;1314;38,74;et119
EustonTap;EustonTap1;ET120;1315;33,15;et120
EustonTap;EustonTap1;ET120;1316;33,15;et120
EustonTap;EustonTap1;ET121;1317;33,62;et121
EustonTap;EustonTap1;ET122;1318;36,05;et122
EustonTap;EustonTap1;ET122;1319;36,05;et122
EustonTap;EustonTap1;ET123;1320;31,45;et123
EustonTap;EustonTap1;ET123;1321;31,45;et123
EustonTap;EustonTap1;ET123;1322;31,45;et123
EustonTap;EustonTap1;ET124;1323;34,26;et124
EustonTap;EustonTap1;ET124;1324;34,26;et124
EustonTap;EustonTap1;ET125;1325;23,5;et125
EustonTap;EustonTap2;ET201;1326;36,01;et201
EustonTap;EustonTap2;ET201;1327;36,01;et201
EustonTap;EustonTap2;ET201;1328;36,01;et201
EustonTap;EustonTap2;ET202;1329;52,57;et202
EustonTap;EustonTap2;ET203;1330;34,69;et203
EustonTap;EustonTap3;ET203;1368;;et203
EustonTap;EustonTap2;ET205;1332;51,58;et205
EustonTap;EustonTap2;ET205;1333;51,58;et205
EustonTap;EustonTap2;ET206;1334;29,06;et206
EustonTap;EustonTap2;ET206;1335;29,06;et206
EustonTap;EustonTap2;ET206;1336;29,06;et206
EustonTap;EustonTap2;ET207;1338;35,07;et207
EustonTap;EustonTap2;ET207;1339;35,07;et207
EustonTap;EustonTap2;ET207;1340;35,07;et207
EustonTap;EustonTap2;ET207;1341;35,07;et207
EustonTap;EustonTap2;ET210;1345;40,11;et210
EustonTap;EustonTap2;ET211;1346;37,67;et211
EustonTap;EustonTap2;ET212;1347;33,92;et212
EustonTap;EustonTap2;ET212;1348;33,92;et212
EustonTap;EustonTap2;ET213;1349;34,56;et213
EustonTap;EustonTap2;ET214;1350;33,15;et214
EustonTap;EustonTap2;ET215;1351;37,12;et215
EustonTap;EustonTap2;ET216;1352;35,88;et216
EustonTap;EustonTap2;ET218;1355;35,29;et218
EustonTap;EustonTap2;ET218;1356;35,29;et218
EustonTap;EustonTap2;ET219;1357;35,33;et219
EustonTap;EustonTap2;ET219;1358;35,33;et219
EustonTap;EustonTap2;ET220;1359;45,78;et220
EustonTap;EustonTap2;ET221;1360;34,26;et221
EustonTap;EustonTap2;ET221;1361;34,26;et221
EustonTap;EustonTap2;ET222;1362;36,95;et222
EustonTap;EustonTap3;ET302;1366;33,11;et302
EustonTap;EustonTap3;ET302;1367;33,11;et302
EustonTap;EustonTap3;ET303;1370;33,79;et303
EustonTap;EustonTap3;ET303;1371;33,79;et303
EustonTap;EustonTap3;ET303;1372;33,79;et303
EustonTap;EustonTap3;ET304;1373;41,5;et304
EustonTap;EustonTap3;ET305;1374;33,92;et305
EustonTap;EustonTap3;ET306;1375;34,05;et306
EustonTap;EustonTap3;ET306;1376;34,05;et306
EustonTap;EustonTap3;ET306;1377;34,05;et306
EustonTap;EustonTap3;ET306;1378;34,05;et306
EustonTap;EustonTap3;ET306;1379;34,05;et306
EustonTap;EustonTap3;ET307;1380;32,85;et307
EustonTap;EustonTap3;ET307;1381;32,85;et307
EustonTap;EustonTap3;ET307;1382;32,85;et307
EustonTap;EustonTap3;ET308;1383;33,54;et308
EustonTap;EustonTap3;ET310;1385;38,04;et310
EustonTap;EustonTap3;ET310;1386;38,04;et310
EustonTap;EustonTap3;ET311;1387;34,9;et311
EustonTap;EustonTap3;ET312;1388;43,14;et312
EustonTap;EustonTap3;ET313;1389;40,53;et313
EustonTap;EustonTap3;ET314;1390;36,69;et314
EustonTap;EustonTap3;ET314;1391;36,69;et314
Noorderplantsoen;Noorderplantsoen1;NP142;1461;31,1;np142
Noorderplantsoen;Noorderplantsoen1;NP144;1462;31,32;np144
Noorderplantsoen;Noorderplantsoen1;NP144;1463;31,32;np144
Noorderplantsoen;Noorderplantsoen1;NP147;1464;28,53;np147
Noorderplantsoen;Noorderplantsoen1;NP151;1465;18,36;np151
Noorderplantsoen;Noorderplantsoen1;NP151;1466;18,36;np151
MarchmontGarden;MarchmontGarden1;MC101;269;31,79;mc101
MarchmontGarden;MarchmontGarden1;MC102;270;32,17;mc102
MarchmontGarden;MarchmontGarden1;MC103;271;60,63;mc103
MarchmontGarden;MarchmontGarden1;MC104;272;40,58;mc104
MarchmontGarden;MarchmontGarden1;MC105;273;37,55;mc105
MarchmontGarden;MarchmontGarden1;MC105;274;37,55;mc105
MarchmontGarden;MarchmontGarden1;MC106;275;60,67;mc106
MarchmontGarden;MarchmontGarden1;MC108;277;37,21;mc108
MarchmontGarden;MarchmontGarden1;MC110;278;30,72;mc110
MarchmontGarden;MarchmontGarden1;MC111;279;32,91;mc111
MarchmontGarden;MarchmontGarden1;MC111;280;32,91;mc111
MarchmontGarden;MarchmontGarden1;MC112;281;47,02;mc112
MarchmontGarden;MarchmontGarden1;MC114;282;42,41;mc114
MarchmontGarden;MarchmontGarden1;MC115;283;36,95;mc115
MarchmontGarden;MarchmontGarden1;MC116;284;32,09;mc116
MarchmontGarden;MarchmontGarden1;MC116;285;32,09;mc116
MarchmontGarden;MarchmontGarden1;MC118;287;35,54;mc118
MarchmontGarden;MarchmontGarden1;MC118;288;35,54;mc118
MarchmontGarden;MarchmontGarden1;MC118;289;35,54;mc118
MarchmontGarden;MarchmontGarden1;MC119;290;30,0;mc119
MarchmontGarden;MarchmontGarden1;MC119;291;30,0;mc119
MarchmontGarden;MarchmontGarden1;MC120;292;31,53;mc120
MarchmontGarden;MarchmontGarden1;MC120;293;31,53;mc120
MarchmontGarden;MarchmontGarden1;MC121;294;40,0;mc121
MarchmontGarden;MarchmontGarden1;MC121;295;40,0;mc121
MarchmontGarden;MarchmontGarden1;MC122;296;42,67;mc122
MarchmontGarden;MarchmontGarden1;MC127;298;48,55;mc127
MarchmontGarden;MarchmontGarden1;MC129;300;34,86;mc129
MarchmontGarden;MarchmontGarden2;MC203;306;39,21;mc203
MarchmontGarden;MarchmontGarden2;MC204;302;30,99;mc204
MarchmontGarden;MarchmontGarden2;MC206;303;36,86;mc206
MarchmontGarden;MarchmontGarden2;MC207;304;31,1;mc207
