locationid;pleasant;eventful;ISOPleasant;ISOEventful
CarloV;2,0;2,0;0,21966991411008926;-0,13388347648318447
CarloV;2,0;4,0;-0,42677669529663703;0,5303300858899107
CarloV;5,0;3,0;0,6767766952966369;-0,07322330470336316
CarloV;5,0;3,0;0,6035533905932737;-0,14644660940672632
CarloV;5,0;3,0;0,45710678118654746;-0,14644660940672624
CarloV;4,0;4,0;0,28033008588991054;0,6767766952966369
CarloV;5,0;2,0;0,7071067811865474;0,0
CarloV;5,0;5,0;0,48743686707645795;-0,11611652351681553
CarloV;5,0;2,0;0,030330085889910423;-0,13388347648318438
CarloV;4,0;4,0;0,13388347648318424;0,17677669529663692
CarloV;5,0;4,0;0,23743686707645795;0,07322330470336316
CarloV;4,0;3,0;0,38388347648318427;0,030330085889910607
CarloV;5,0;3,0;0,8535533905932737;-0,14644660940672632
CarloV;5,0;5,0;0,3838834764831844;0,6338834764831844
CarloV;5,0;4,0;0,7499999999999999;0,35355339059327384
CarloV;4,0;5,0;0,75;0,5606601717798214
CarloV;5,0;5,0;0,5606601717798212;0,5606601717798212
CarloV;4,0;4,0;0,5303300858899106;0,5303300858899108
CarloV;4,0;3,0;-0,2500000000000001;0,14644660940672624
CarloV;5,0;5,0;0,5303300858899106;0,5303300858899106
CarloV;4,0;2,0;0,2803300858899105;-0,28033008588991054
CarloV;4,0;5,0;0,4999999999999999;0,6035533905932737
CarloV;5,0;1,0;0,8964466094067263;-0,4142135623730951
CarloV;4,0;4,0;0,24999999999999992;0,060660171779821304
CarloV;5,0;4,0;0,6338834764831843;0,13388347648318438
CarloV;5,0;3,0;0,8535533905932737;-0,14644660940672632
CarloV;5,0;5,0;1,0;0,4142135623730951
CarloV;4,0;4,0;0,4999999999999999;0,35355339059327384
CarloV;5,0;4,0;0,23743686707645809;0,38388347648318444
PlazaBibRambla;4,0;3,0;0,2071067811865474;9,197388681172371e-17
PlazaBibRambla;5,0;5,0;0,7803300858899107;0,6338834764831844
PlazaBibRambla;5,0;3,0;0,5606601717798212;0,29289321881345254
CarloV;4,0;4,0;0,24999999999999986;0,2500000000000001
CarloV;4,0;3,0;0,5303300858899106;0,2196699141100894
CarloV;4,0;4,0;0,24999999999999994;0,35355339059327384
CarloV;4,0;3,0;0,13388347648318433;-0,3054563517369943
CarloV;4,0;3,0;0,24999999999999992;0,3964466094067263
CarloV;5,0;4,0;0,9267766952966369;0,23743686707645814
CarloV;5,0;1,0;0,9267766952966369;-0,38388347648318444
CarloV;5,0;4,0;0,6767766952966369;0,38388347648318444
CarloV;4,0;3,0;0,28033008588991054;0,17677669529663703
CarloV;5,0;3,0;0,5303300858899105;-0,2196699141100893
CarloV;4,0;3,0;0,676776695296637;0,13388347648318438
CarloV;4,0;1,0;0,5303300858899107;-0,2196699141100894
CarloV;4,0;2,0;0,6035533905932737;-0,14644660940672624
CarloV;4,0;4,0;0,1767766952966367;0,13388347648318438
CarloV;5,0;5,0;1,0;0,0
CarloV;5,0;3,0;0,7803300858899106;0,2803300858899107
CarloV;5,0;1,0;0,7071067811865476;-0,29289321881345254
CampoPrincipe;5,0;3,0;0,5606601717798212;-0,33578643762690513
CampoPrincipe;4,0;4,0;0,2196699141100893;0,5303300858899107
CampoPrincipe;4,0;5,0;0,6035533905932737;0,4142135623730951
CampoPrincipe;4,0;5,0;0,45710678118654746;0,4571067811865475
CampoPrincipe;5,0;4,0;0,7803300858899106;0,13388347648318447
CampoPrincipe;5,0;2,0;0,6338834764831843;-0,5303300858899106
CampoPrincipe;4,0;3,0;0,3535533905932737;-0,14644660940672624
CampoPrincipe;5,0;3,0;0,6338834764831843;0,030330085889910607
CampoPrincipe;5,0;1,0;0,6338834764831843;-0,5732233047033632
CampoPrincipe;4,0;4,0;0,573223304703363;0,38388347648318444
CampoPrincipe;5,0;2,0;0,8535533905932737;-0,45710678118654746
CampoPrincipe;4,0;4,0;0,42677669529663687;0,030330085889910607
CampoPrincipe;5,0;2,0;0,7803300858899105;-0,2803300858899107
CampoPrincipe;5,0;2,0;0,45710678118654746;-0,3964466094067262
CampoPrincipe;4,0;4,0;0,42677669529663687;0,13388347648318438
CampoPrincipe;4,0;2,0;0,5303300858899105;-0,2803300858899107
CampoPrincipe;5,0;3,0;0,7071067811865475;-0,04289321881345246
CampoPrincipe;4,0;3,0;0,38388347648318427;-0,2196699141100893
CampoPrincipe;5,0;2,0;0,6338834764831843;-0,676776695296637
CampoPrincipe;3,0;3,0;-0,03033008588991079;-0,2196699141100894
CampoPrincipe;4,0;4,0;-0,04289321881345251;0,35355339059327384
CampoPrincipe;5,0;4,0;0,6338834764831843;-0,012563132923541859
CampoPrincipe;4,0;3,0;0,6767766952966369;-0,07322330470336316
CampoPrincipe;5,0;4,0;0,5606601717798211;-0,3964466094067262
CampoPrincipe;5,0;3,0;0,48743686707645806;-0,36611652351681573
CampoPrincipe;5,0;2,0;0,5606601717798211;-0,5000000000000002
CampoPrincipe;2,0;5,0;0,15900974233026796;0,38388347648318444
CampoPrincipe;4,0;5,0;0,5;0,7071067811865476
CampoPrincipe;5,0;4,0;0,48743686707645806;-0,2196699141100895
CampoPrincipe;4,0;3,0;0,6035533905932736;-0,14644660940672632
CampoPrincipe;5,0;3,0;0,6767766952966369;-0,11611652351681571
CampoPrincipe;5,0;5,0;0,9267766952966369;0,17677669529663692
CampoPrincipe;5,0;4,0;0,7071067811865476;-0,08578643762690492
CampoPrincipe;5,0;4,0;0,7803300858899105;-0,2196699141100894
CampoPrincipe;5,0;4,0;0,7803300858899106;0,38388347648318444
CampoPrincipe;4,0;4,0;0,2196699141100893;-0,012563132923541767
CampoPrincipe;4,0;3,0;0,31066017177982114;-0,04289321881345256
CampoPrincipe;5,0;3,0;0,7803300858899105;-0,17677669529663692
CampoPrincipe;4,0;3,0;0,2803300858899105;-0,4696699141100893
CampoPrincipe;5,0;2,0;0,4874368670764581;-0,4090097423302682
CampoPrincipe;5,0;4,0;0,5606601717798212;0,0
CampoPrincipe;5,0;4,0;0,9267766952966369;0,23743686707645814
CampoPrincipe;5,0;4,0;0,6035533905932737;-0,29289321881345237
CampoPrincipe;5,0;3,0;0,5303300858899106;0,030330085889910607
CampoPrincipe;4,0;4,0;0,3535533905932737;-0,1893398282201786
CampoPrincipe;5,0;4,0;0,4874368670764582;0,42677669529663703
CampoPrincipe;5,0;5,0;0,6035533905932736;0,017766952966368838
CampoPrincipe;4,0;4,0;0,5303300858899106;0,5303300858899106
CampoPrincipe;5,0;3,0;0,6338834764831843;-0,46966991411008957
CampoPrincipe;4,0;4,0;0,13388347648318433;0,13388347648318447
CampoPrincipe;5,0;3,0;0,8535533905932737;-0,04289321881345256
CampoPrincipe;5,0;3,0;0,8535533905932737;-0,14644660940672632
CampoPrincipe;5,0;2,0;0,5606601717798212;-0,35355339059327384
CampoPrincipe;5,0;4,0;0,8535533905932737;-0,04289321881345256
CampoPrincipe;5,0;3,0;0,6338834764831843;0,030330085889910607
CampoPrincipe;5,0;1,0;0,48743686707645795;-0,8232233047033631
CampoPrincipe;5,0;2,0;0,3409902576697318;-0,7196699141100894
CampoPrincipe;4,0;4,0;0,6464466094067263;0,3106601717798213
CampoPrincipe;5,0;5,0;0,45710678118654746;0,1213203435596427
CampoPrincipe;5,0;2,0;0,6035533905932737;-0,5
CampoPrincipe;2,0;3,0;-0,5303300858899108;0,3661165235168156
CampoPrincipe;5,0;2,0;0,5606601717798211;-0,6464466094067264
CampoPrincipe;5,0;4,0;0,9267766952966369;0,030330085889910607
CampoPrincipe;5,0;4,0;0,6338834764831843;-0,36611652351681573
CampoPrincipe;5,0;4,0;0,6338834764831843;-0,15900974233026818
CampoPrincipe;3,0;3,0;0,1767766952966367;-0,17677669529663692
CampoPrincipe;5,0;2,0;0,9267766952966369;-0,07322330470336316
CampoPrincipe;4,0;4,0;0,090990257669732;0,5303300858899107
CampoPrincipe;4,0;5,0;0,6035533905932737;0,5606601717798213
CampoPrincipe;5,0;4,0;0,5606601717798212;0,017766952966368654
CampoPrincipe;5,0;4,0;0,7071067811865476;0,3106601717798213
CampoPrincipe;5,0;5,0;0,6035533905932736;0,10355339059327377
CampoPrincipe;5,0;4,0;0,7071067811865476;0,45710678118654763
CampoPrincipe;5,0;4,0;0,7071067811865475;-0,04289321881345256
CampoPrincipe;5,0;5,0;0,6338834764831843;0,23743686707645814
CampoPrincipe;5,0;3,0;0,6338834764831843;-0,46966991411008957
CampoPrincipe;4,0;4,0;0,42677669529663687;-0,11611652351681563
CampoPrincipe;5,0;3,0;0,7803300858899105;-0,32322330470336325
CampoPrincipe;4,0;5,0;0,10355339059327377;0,7071067811865477
CampoPrincipe;5,0;3,0;0,45710678118654746;-0,3964466094067263
CampoPrincipe;4,0;2,0;0,31066017177982125;-0,335786437626905
CampoPrincipe;4,0;4,0;0,3535533905932736;0,5
CampoPrincipe;5,0;4,0;0,6338834764831843;0,030330085889910607
CampoPrincipe;5,0;3,0;0,6035533905932737;-0,2928932188134525
CampoPrincipe;3,0;5,0;0,42677669529663687;-0,012563132923541767
CampoPrincipe;4,0;3,0;-0,2928932188134527;0,10355339059327386
CampoPrincipe;5,0;3,0;0,6035533905932736;-0,2500000000000001
CampoPrincipe;5,0;2,0;0,7071067811865475;-0,6035533905932737
CampoPrincipe;5,0;5,0;0,6338834764831842;0,03033008588991079
CampoPrincipe;5,0;2,0;0,6338834764831843;-0,2196699141100895
CampoPrincipe;4,0;2,0;0,42677669529663675;-0,573223304703363
CampoPrincipe;4,0;3,0;0,3535533905932736;-0,10355339059327377
CampoPrincipe;1,0;1,0;-0,6338834764831845;-0,3409902576697319
CampoPrincipe;5,0;3,0;0,48743686707645806;-0,6161165235168158
CampoPrincipe;2,0;2,0;-0,2071067811865477;0,2928932188134525
CampoPrincipe;2,0;3,0;-0,45710678118654774;0,14644660940672613
CampoPrincipe;5,0;4,0;0,38388347648318427;-0,11611652351681553
CampoPrincipe;5,0;5,0;1,0;0,4142135623730951
CarloV;5,0;3,0;0,31066017177982114;-0,2928932188134525
CarloV;5,0;5,0;1,0;0,4142135623730951
CarloV;5,0;3,0;0,7071067811865475;-9,197388681172371e-17
CarloV;5,0;5,0;1,0;0,4142135623730951
CarloV;5,0;4,0;0,7071067811865476;-0,1893398282201787
CarloV;3,0;1,0;0,2803300858899105;-0,6161165235168158
CarloV;4,0;4,0;0,39644660940672616;0,10355339059327377
CarloV;4,0;1,0;0,4571067811865475;-0,14644660940672627
CarloV;4,0;1,0;0,5303300858899107;-0,2196699141100894
CarloV;5,0;2,0;0,6767766952966369;-0,2196699141100895
CarloV;5,0;2,0;0,823223304703363;-0,07322330470336316
CarloV;4,0;3,0;0,28033008588991065;0,13388347648318438
CarloV;5,0;4,0;0,7803300858899105;-0,2196699141100894
CarloV;5,0;3,0;0,8535533905932737;-0,2500000000000001
CarloV;5,0;4,0;0,7071067811865475;-0,3964466094067262
CarloV;4,0;1,0;0,3535533905932738;-0,14644660940672624
CarloV;5,0;3,0;0,7803300858899105;-0,32322330470336325
CarloV;5,0;1,0;0,7071067811865475;-0,7071067811865476
CarloV;5,0;2,0;0,7071067811865476;-0,18933982822017878
CarloV;5,0;3,0;0,8535533905932738;0,06066017177982121
CarloV;4,0;4,0;0,45710678118654746;-0,2928932188134525
CarloV;5,0;3,0;0,7803300858899105;-0,17677669529663692
CarloV;5,0;4,0;0,7803300858899106;0,030330085889910607
CarloV;4,0;4,0;0,6464466094067262;0,20710678118654754
CarloV;4,0;1,0;0,3838834764831844;-0,46966991411008946
CarloV;4,0;4,0;-0,1893398282201787;0,5000000000000001
CarloV;3,0;4,0;-0,07322330470336312;0,38388347648318455
CarloV;5,0;3,0;0,3232233047033629;-0,17677669529663692
CarloV;3,0;4,0;0,07322330470336302;0,38388347648318444
CarloV;5,0;3,0;0,5606601717798213;-0,23223304703363135
CarloV;4,0;3,0;0,20710678118654743;0,14644660940672624
CarloV;5,0;3,0;0,7071067811865476;-0,29289321881345265
CarloV;4,0;3,0;0,42677669529663687;0,030330085889910607
CarloV;5,0;5,0;0,5606601717798212;0,06066017177982121
CarloV;4,0;4,0;-0,04289321881345246;0,45710678118654763
CarloV;5,0;4,0;0,7803300858899106;0,13388347648318438
CarloV;5,0;4,0;0,5303300858899106;-0,2625631329235419
CarloV;5,0;5,0;0,8535533905932738;0,2677669529663688
CarloV;5,0;5,0;0,8535533905932738;0,2677669529663688
CarloV;3,0;3,0;-0,030330085889910836;-0,030330085889910607
CarloV;4,0;4,0;0,46966991411008924;0,07322330470336316
CarloV;5,0;5,0;0,7071067811865474;-0,2928932188134525
CarloV;4,0;3,0;0,49999999999999983;-0,2500000000000001
CarloV;5,0;3,0;0,5303300858899104;-0,17677669529663692
MiradorSanNicolas;5,0;3,0;0,7071067811865476;-0,29289321881345254
MiradorSanNicolas;5,0;4,0;0,6338834764831843;0,2196699141100893
MiradorSanNicolas;4,0;3,0;0,07322330470336298;0,17677669529663684
MiradorSanNicolas;5,0;4,0;0,6338834764831843;-0,11611652351681571
MiradorSanNicolas;5,0;1,0;0,6338834764831843;-0,4267766952966369
MiradorSanNicolas;3,0;3,0;0,11611652351681544;-0,2196699141100894
MiradorSanNicolas;4,0;5,0;0,07322330470336307;0,8232233047033632
MiradorSanNicolas;5,0;4,0;0,7803300858899106;0,38388347648318444
MiradorSanNicolas;5,0;5,0;-0,01256313292354195;0,2196699141100893
MiradorSanNicolas;5,0;4,0;0,5606601717798213;0,16421356237309512
MiradorSanNicolas;2,0;3,0;0,07322330470336302;0,030330085889910697
MiradorSanNicolas;5,0;4,0;0,5606601717798213;-0,12867965644035748
MiradorSanNicolas;5,0;3,0;0,6338834764831843;-0,13388347648318438
MiradorSanNicolas;2,0;3,0;-0,28033008588991076;0,32322330470336325
MiradorSanNicolas;4,0;4,0;0,07322330470336302;0,676776695296637
MiradorSanNicolas;5,0;4,0;0,5606601717798212;-0,29289321881345237
MiradorSanNicolas;4,0;5,0;0,17677669529663684;0,48743686707645834
MiradorSanNicolas;5,0;5,0;0,7803300858899107;0,6338834764831844
MiradorSanNicolas;4,0;3,0;0,38388347648318444;0,17677669529663684
MiradorSanNicolas;3,0;2,0;0,1464466094067261;0,2928932188134525
MiradorSanNicolas;5,0;4,0;0,31066017177982125;0,10355339059327386
MiradorSanNicolas;4,0;4,0;0,2803300858899105;-0,36611652351681556
MiradorSanNicolas;5,0;5,0;0,6338834764831844;0,19454364826300577
MiradorSanNicolas;5,0;4,0;0,48743686707645806;-0,01256313292354195
MiradorSanNicolas;5,0;4,0;0,45710678118654746;-0,08578643762690492
MiradorSanNicolas;5,0;5,0;0,7803300858899106;0,3409902576697319
MiradorSanNicolas;4,0;4,0;0,1338834764831844;0,38388347648318444
PlazaBibRambla;5,0;3,0;0,7071067811865475;0,10355339059327377
PlazaBibRambla;1,0;3,0;-0,45710678118654763;0,35355339059327384
PlazaBibRambla;5,0;1,0;0,7071067811865475;-0,7071067811865476
PlazaBibRambla;4,0;3,0;0,2071067811865474;-0,29289321881345237
PlazaBibRambla;5,0;5,0;0,48743686707645806;-0,5125631329235417
PlazaBibRambla;5,0;3,0;0,6035533905932737;-0,14644660940672632
PlazaBibRambla;5,0;4,0;0,7803300858899105;-0,07322330470336316
PlazaBibRambla;5,0;4,0;0,9267766952966369;0,13388347648318438
PlazaBibRambla;5,0;4,0;0,6767766952966368;0,030330085889910607
PlazaBibRambla;5,0;4,0;0,41421356237309487;-0,5428932188134524
PlazaBibRambla;5,0;4,0;0,48743686707645806;-0,3661165235168156
PlazaBibRambla;4,0;3,0;-9,197388681172371e-17;0,0
PlazaBibRambla;4,0;3,0;0,07322330470336298;0,07322330470336307
PlazaBibRambla;5,0;5,0;0,6035533905932736;0,45710678118654763
