locationid;sessionid;recordid;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
Noorderplantsoen;Noorderplantsoen1;1461;67,88;56,68;80,71;72,25;70,75;66,51;59,96;59,18;67,44;55,82;80,59;72,04;70,36;65,9;59,01;58,14;62,6;50,2;73,64;67,47;66,1;60,66;53,96;53,21;21,9;0,0;29,3;19,6;13,9;8,95;8,53;2,06;0,0;3,26;2,51;2,38;2,05;1,73;1,66;0,0333;0,0122;0,136;0,0574;0,047;0,031;0,0209;0,0187;0,158;0,0;1,21;0,457;0,325;0,0725;0,01;0,00507;0,0233;0,00628;0,0655;0,0511;0,0429;0,0194;0,00789;0,00749;0,447;0,182;1,03;0,688;0,63;0,425;0,312;0,282;11,1;1,07;59,7;25,2;19,9;9,21;4,64;3,85;-1,44;-6,93;55,58;38,99;29,18;9,8;-4,33;-4,99
Noorderplantsoen;Noorderplantsoen1;1462;67,98;61,0;78,83;72,23;70,9;65,66;62,53;62,17;65,63;60,29;74,01;69,33;68,47;64,16;61,51;61,17;57,91;50,23;69,84;61,95;60,55;56,37;52,11;51,46;14,5;0,0;27,1;13,4;10,6;8,65;8,31;1,94;0,0;3,54;2,37;2,27;1,9;1,67;1,63;0,0306;0,0143;0,159;0,0545;0,0454;0,0275;0,0189;0,0176;0,11;0,0;1,14;0,313;0,208;0,0446;0,00843;0,00467;0,0335;0,00547;0,0945;0,0716;0,0641;0,0322;0,00998;0,00767;0,549;0,259;1,46;0,949;0,842;0,503;0,355;0,323;12,0;0,525;107,0;29,2;23,8;9,26;3,95;3,05;-0,94;-7,48;60,81;32,09;25,4;9,37;-4,13;-5,18
Noorderplantsoen;Noorderplantsoen1;1463;67,98;61,0;78,83;72,23;70,9;65,66;62,53;62,17;65,63;60,29;74,01;69,33;68,47;64,16;61,51;61,17;57,91;50,23;69,84;61,95;60,55;56,37;52,11;51,46;14,5;0,0;27,1;13,4;10,6;8,65;8,31;1,94;0,0;3,54;2,37;2,27;1,9;1,67;1,63;0,0306;0,0143;0,159;0,0545;0,0454;0,0275;0,0189;0,0176;0,11;0,0;1,14;0,313;0,208;0,0446;0,00843;0,00467;0,0335;0,00547;0,0945;0,0716;0,0641;0,0322;0,00998;0,00767;0,549;0,259;1,46;0,949;0,842;0,503;0,355;0,323;12,0;0,525;107,0;29,2;23,8;9,26;3,95;3,05;-0,94;-7,48;60,81;32,09;25,4;9,37;-4,13;-5,18
Noorderplantsoen;Noorderplantsoen1;1464;62,41;56,28;69,55;65,68;64,64;61,77;58,72;58,0;61,82;55,74;69,51;65,41;64,19;61,1;57,72;57,18;57,54;49,35;66,87;61,39;60,03;56,67;51,6;50,79;14,9;0,0;19,3;13,7;10,7;8,03;7,46;2,15;0,0;3,56;2,65;2,52;2,11;1,84;1,78;0,0314;0,0113;0,126;0,0738;0,0517;0,0262;0,0179;0,0158;0,13;0,0;0,936;0,313;0,246;0,0853;0,015;0,00754;0,0139;0,00396;0,0498;0,033;0,0257;0,0117;0,00568;0,00446;0,493;0,228;1,43;0,85;0,74;0,439;0,322;0,3;8,93;0,284;61,7;24,7;17,2;6,82;3,19;2,47;-1,81;-9,82;50,0;31,39;25,91;8,98;-7,35;-7,89
Noorderplantsoen;Noorderplantsoen1;1465;64,4;58,36;75,83;68,13;66,13;63,1;60,25;59,93;62,12;55,44;71,09;65,16;64,12;61,48;58,55;58,21;55,29;49,38;64,76;57,59;57,01;54,63;51,65;51,04;11,4;0,0;15,7;11,0;9,29;7,63;7,25;1,84;0,0;2,77;2,22;2,11;1,83;1,56;1,52;0,0276;0,0141;0,0667;0,0423;0,037;0,0268;0,0192;0,0175;0,195;0,0;1,19;0,568;0,432;0,107;0,013;0,00589;0,0178;0,006;0,0373;0,0342;0,0315;0,0157;0,00813;0,00746;0,443;0,249;1,26;0,705;0,577;0,41;0,319;0,295;8,85;0,684;35,6;18,8;15,6;7,75;3,63;2,9;-3,8;-11,73;56,82;30,09;22,18;4,68;-9,05;-9,83
Noorderplantsoen;Noorderplantsoen1;1466;64,4;58,36;75,83;68,13;66,13;63,1;60,25;59,93;62,12;55,44;71,09;65,16;64,12;61,48;58,55;58,21;55,29;49,38;64,76;57,59;57,01;54,63;51,65;51,04;11,4;0,0;15,7;11,0;9,29;7,63;7,25;1,84;0,0;2,77;2,22;2,11;1,83;1,56;1,52;0,0276;0,0141;0,0667;0,0423;0,037;0,0268;0,0192;0,0175;0,195;0,0;1,19;0,568;0,432;0,107;0,013;0,00589;0,0178;0,006;0,0373;0,0342;0,0315;0,0157;0,00813;0,00746;0,443;0,249;1,26;0,705;0,577;0,41;0,319;0,295;8,85;0,684;35,6;18,8;15,6;7,75;3,63;2,9;-3,8;-11,73;56,82;30,09;22,18;4,68;-9,05;-9,83
Noorderplantsoen;Noorderplantsoen1;2;62,57;52,82;70,99;67,28;66,34;60,34;55,15;54,3;59,96;52,02;68,15;64,29;63,55;57,86;53,99;53,32;48,75;44,94;55,79;52,04;50,62;47,82;46,14;45,75;8,16;0,0;11,5;7,7;6,41;5,4;5,18;2,01;0,0;3,36;2,53;2,36;1,97;1,71;1,64;0,02;0,0102;0,0419;0,0285;0,0259;0,0193;0,0148;0,0137;0,102;0,0;1,28;0,256;0,133;0,0227;0,0038;0,00185;0,00707;0,00203;0,0224;0,0176;0,0137;0,00552;0,00285;0,00249;0,417;0,238;1,04;0,673;0,56;0,389;0,309;0,291;4,93;0,0541;46,4;11,3;8,55;4,1;1,98;1,52;-0,6;-13,12;55,43;22,94;19,09;5,33;-9,93;-11,04
Noorderplantsoen;Noorderplantsoen1;73;62,57;52,82;70,99;67,28;66,34;60,34;55,15;54,3;59,96;52,02;68,15;64,29;63,55;57,86;53,99;53,32;48,75;44,94;55,79;52,04;50,62;47,82;46,14;45,75;8,16;0,0;11,5;7,7;6,41;5,4;5,18;2,01;0,0;3,36;2,53;2,36;1,97;1,71;1,64;0,02;0,0102;0,0419;0,0285;0,0259;0,0193;0,0148;0,0137;0,102;0,0;1,28;0,256;0,133;0,0227;0,0038;0,00185;0,00707;0,00203;0,0224;0,0176;0,0137;0,00552;0,00285;0,00249;0,417;0,238;1,04;0,673;0,56;0,389;0,309;0,291;4,93;0,0541;46,4;11,3;8,55;4,1;1,98;1,52;-0,6;-13,12;55,43;22,94;19,09;5,33;-9,93;-11,04
Noorderplantsoen;Noorderplantsoen1;88;71,91;61,52;78,77;77,55;76,37;70,03;64,49;63,87;71,02;59,79;77,72;76,31;75,5;69,27;63,24;62,52;64,28;51,0;71,87;68,97;68,16;63,09;53,66;52,43;24,8;0,0;29,3;23,6;17,9;9,69;8,72;2,13;0,0;2,94;2,51;2,43;2,14;1,85;1,79;0,034;0,0144;0,0992;0,0591;0,0507;0,0312;0,0203;0,0186;0,21;0,0;1,08;0,675;0,495;0,12;0,0246;0,0118;0,00891;0,00242;0,0285;0,0259;0,0189;0,0075;0,00291;0,00278;0,343;0,228;0,68;0,5;0,435;0,328;0,27;0,258;6,49;0,147;40,6;13,1;10,6;5,78;2,95;2,3;-2,75;-14,02;64,62;39,21;32,3;11,15;-11,88;-12,6
Noorderplantsoen;Noorderplantsoen1;98;72,11;57,44;78,45;76,26;75,66;70,77;59,69;59,03;71,33;56,66;77,7;75,58;74,96;69,96;58,72;58,11;56,41;48,94;63,41;60,1;59,58;55,99;50,81;50,1;16,0;0,0;21,7;15,1;11,8;7,95;7,37;1,83;0,0;3,54;2,6;2,45;1,76;1,52;1,47;0,0261;0,0106;0,1;0,0414;0,036;0,0242;0,0172;0,0158;0,408;0,0;1,22;0,925;0,861;0,242;0,0106;0,00315;0,0158;0,0036;0,0487;0,0351;0,0287;0,0143;0,00566;0,00448;0,407;0,176;1,7;0,738;0,631;0,375;0,255;0,234;7,03;0,227;54,2;17,7;12,8;5,51;2,57;2,03;-6,24;-7,37;68,89;29,14;23,97;9,69;-3,52;-4,47
