mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__max_depth;param_model__min_samples_split;param_model__n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0,1297605037689209;0,009510840779580653;0,0035634994506835937;0,0014301803332753215;;2;5;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 5};-0,32650806359200074;-0,2950515030025704;-0,2730475286930923;-0,28456105387003244;-0,29156548384991515;-0,2941467266015222;0,017842639044627066;535
0,2517486572265625;0,009144010737224916;0,004820823669433594;0,0009847238377444741;;2;10;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 10};-0,31364417245356085;-0,30190305578904286;-0,27178063088966153;-0,2735171107024014;-0,2891980767118895;-0,29000860930931127;0,01615551539794022;488
0,38034677505493164;0,015440140103300925;0,0051155567169189455;0,0010254913891515752;;2;15;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 15};-0,31042211011879384;-0,29786923039387253;-0,2592593124740479;-0,269011383967922;-0,28980320996090986;-0,2852730493831092;0,0187233418857483;423
0,507244348526001;0,009960396847322752;0,006436538696289062;0,0012109747062910173;;2;20;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 20};-0,30840443534575157;-0,2973036498994787;-0,2605239006568898;-0,27171234905404174;-0,2891977771135573;-0,28542842241394384;0,017271317872641287;427
0,6034604549407959;0,013850462935604005;0,0062713146209716795;0,0007986968652345101;;2;25;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 25};-0,30395833433131153;-0,2956260211699804;-0,260986899515924;-0,27037798083190656;-0,2858876738541366;-0,2833673819406518;0,015812804698508404;370
0,9505881786346435;0,014697634337325216;0,009029436111450195;0,0011106660494559777;;2;40;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 40};-0,301987891248537;-0,2919610061119984;-0,2598854106904729;-0,27252214148603404;-0,2822166044277333;-0,28171461079295507;0,01467829679592999;309
1,1660002708435058;0,01735426325533456;0,008832168579101563;0,0008912617701766173;;2;50;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 50};-0,3011517198699787;-0,29141397206745906;-0,2585680599540392;-0,27504540641410596;-0,2798125112517457;-0,28119833391146576;0,014521743660894896;286
2,4414723396301268;0,17746901377491014;0,01609644889831543;4,046030021526242e-05;;2;100;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100};-0,3030480334075416;-0,2891472210032416;-0,260080702093584;-0,2730372166869768;-0,2814091105046189;-0,2813444567391926;0,014512684447629846;294
4,85660753250122;0,13535975718052232;0,028565263748168944;0,0020919066428630355;;2;200;{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200};-0,30105389182547354;-0,2890671721083848;-0,25742812515930424;-0,2717254545249376;-0,2827814461596579;-0,28041121795555163;0,014901869341723255;254
0,11189556121826172;0,006936397940563636;0,0031633853912353517;0,0009419688256023312;;5;5;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 5};-0,32011796658731234;-0,2969387927212389;-0,27444357555850163;-0,27927436849444764;-0,28950698202489683;-0,2920563370772794;0,016070972118864057;521
0,2161696434020996;0,01089186627302481;0,003612804412841797;0,0007326921942680635;;5;10;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 10};-0,31270135137708427;-0,2990144586562631;-0,27466359699073445;-0,2732969259515006;-0,2903107226531183;-0,2899974111257401;0,014905745698886697;487
0,3168020248413086;0,009967888169949332;0,004862165451049805;0,0007208092242703554;;5;15;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 15};-0,3063318605577061;-0,2944774060011621;-0,26066072343434704;-0,2676398042380564;-0,2892388964048013;-0,2836697381272146;0,017016265979799064;375
0,4172662734985352;0,009006734714552126;0,005518150329589844;0,000768109039050967;;5;20;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 20};-0,3052772634472761;-0,29283780006883786;-0,26068351034269754;-0,2715400278674587;-0,28863430948545915;-0,2837945822423459;0,01581773743286669;380
0,52475004196167;0,010148309869716533;0,005442762374877929;0,0007115268879197269;;5;25;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 25};-0,30042388263863956;-0,29094669300394255;-0,26060840463575113;-0,2683105854651221;-0,28451140434331806;-0,28096019401735467;0,01459715286686106;281
0,8617797374725342;0,05047694141707954;0,0076812744140625;0,0007148539145604348;;5;40;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 40};-0,2999565171582457;-0,2873502305799115;-0,26027762105746044;-0,27053916719836135;-0,28158702783808814;-0,2799421127664134;0,013662137152134836;239
1,047802209854126;0,040025221806829214;0,008294010162353515;0,0009872607758634824;;5;50;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 50};-0,2983949445881436;-0,28689203182276335;-0,25900768922066036;-0,27203702770473953;-0,27958843677388423;-0,2791840260220382;0,013317660795378874;195
2,272018051147461;0,15249008620578577;0,02022395133972168;0,0068880822318310875;;5;100;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100};-0,30090461350907716;-0,2852352775060628;-0,25912733498419743;-0,2721339609072444;-0,2811263103491513;-0,27970549945114664;0,013876517102906456;220
4,228033542633057;0,069617741640091;0,030601978302001953;0,006405377703882179;;5;200;{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200};-0,2987126746628463;-0,2845231692768382;-0,25740627084016626;-0,27056587166131296;-0,2820897092888663;-0,278659539146006;0,013895937079662702;175
0,12464404106140137;0,043620486777159566;0,002956581115722656;0,0008295969437282518;;10;5;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 5};-0,3210739157709072;-0,28785127207204747;-0,2710808641240297;-0,27410361450086373;-0,2871197765055302;-0,28824588859467565;0,017741167946575705;467
0,22951464653015136;0,026707692342245612;0,0031671524047851562;0,0009518237398030067;;10;10;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 10};-0,3094494703208072;-0,29591250880503667;-0,272235462729129;-0,26742123793615624;-0,2855272697102924;-0,2861091899002843;0,015381366889829074;436
0,33158278465270996;0,041554127663673474;0,004526615142822266;0,000765724225838384;;10;15;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 15};-0,30744522115084905;-0,29247848066163257;-0,25999015647531826;-0,2631438644041104;-0,28688707087836834;-0,2819889587140557;0,018006264188907103;327
0,41713533401489256;0,035414582975828765;0,0038631439208984377;0,0004644078972494989;;10;20;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 20};-0,3064090893955363;-0,29133175510596054;-0,2597817180084045;-0,2660751033781285;-0,2863376825887013;-0,28198706969534626;0,01702324493055707;326
0,5177138328552247;0,034223761730389914;0,006129693984985351;0,0005918425395986715;;10;25;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 25};-0,3009653788211885;-0,2893537704309694;-0,26085015446968096;-0,2647571012977709;-0,28285195497742605;-0,27975567199940715;0,015059467729017588;227
0,8008865356445313;0,045928638817117715;0,0072937488555908205;0,0011136603584866894;;10;40;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 40};-0,2989270773530779;-0,28401648515226785;-0,26104787257743517;-0,2665703558861917;-0,2806989798237937;-0,2782521541585533;0,013409836929204015;157
0,9814713478088379;0,0395806465750858;0,008179187774658203;0,00027411335640688126;;10;50;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 50};-0,2971226477923836;-0,28418035566211436;-0,2596438448513926;-0,26868710159448833;-0,2789779551573416;-0,27772238101154406;0,012869514350036106;135
2,03895845413208;0,17176967262749993;0,014650583267211914;0,0012539090284222935;;10;100;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 100};-0,29775556449225166;-0,28206238203596135;-0,25892258795552753;-0,2687602491380652;-0,2808686591887313;-0,2776738885621074;0,013143845591837231;128
3,969502353668213;0,0922543705705622;0,024454212188720702;0,0009823221204107993;;10;200;{'model__max_depth': None, 'model__min_samples_split': 10, 'model__n_estimators': 200};-0,29582328148618614;-0,2818750115614279;-0,2569146536276931;-0,2681841084164144;-0,2817262234361775;-0,2769046557055798;0,01327791009336644;102
0,026883459091186522;0,005319390019848166;0,0031709671020507812;0,0009420622548490181;1;2;5;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5};-0,32910769547744523;-0,304878826728759;-0,3076158703077788;-0,29611447861194756;-0,32132764423705157;-0,31180890307259645;0,011847169223668666;565
0,049782609939575194;0,00984056142359502;0,005520439147949219;0,002059432839035132;1;2;10;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 10};-0,3270470355250976;-0,29990383232717727;-0,3084309595771285;-0,29552702505467343;-0,32186029630732765;-0,3105538297582809;0,012195047396219245;562
0,07639679908752442;0,022498288794485805;0,0048583984375;0,001583746278101708;1;2;15;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 15};-0,32750360478708634;-0,2989280937454184;-0,3087494560281967;-0,2956737181643014;-0,32152558732084513;-0,3104760920091696;0,012389312694403087;559
0,09653043746948242;0,014910331560085794;0,00523991584777832;0,002527663853412666;1;2;20;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 20};-0,3284126858133844;-0,29615385214407347;-0,30677404830019367;-0,29566547886364;-0,3213400264018664;-0,30966921830463157;0,013226316085999865;550
0,09879989624023437;0,006098441153562763;0,00472259521484375;0,0008699484468160453;1;2;25;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 25};-0,3284255518376468;-0,2973474956364467;-0,3070924763851342;-0,2959504319302759;-0,32144814587257514;-0,3100528203324157;0,01293427213020149;556
0,15295300483703614;0,00978403167887839;0,006025362014770508;0,0011361568799665032;1;2;40;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 40};-0,32870015524360796;-0,2965272382588292;-0,30626493695132573;-0,295560015524414;-0,3215143943519372;-0,3097133480660228;0,013310487544322246;553
0,18234691619873047;0,0022428006442539424;0,00786590576171875;0,0015071851743733255;1;2;50;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50};-0,3288803944749013;-0,29525077405080336;-0,3057991148400946;-0,2953672913332571;-0,3213237852726675;-0,3093242719943448;0,013650770175299061;547
0,38796086311340333;0,03553550320485128;0,014480686187744141;0,0029454319326804226;1;2;100;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100};-0,3281345838559799;-0,2947765471362639;-0,30511776582368977;-0,2943996301151568;-0,3207791378655758;-0,30864153295933316;0,01367323699379497;544
0,7755833148956299;0,048147894540433556;0,02091665267944336;0,0008894174898758699;1;2;200;{'model__max_depth': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200};-0,328328552505217;-0,29420568592501795;-0,3043027278853241;-0,2947965104406225;-0,3196268937730614;-0,30825207410584854;0,013611774736800633;541
0,033890056610107425;0,006123575968474977;0,0056836605072021484;0,004551166569841465;1;5;5;{'model__max_depth': 1, 'model__min_samples_split': 5, 'model__n_estimators': 5};-0,32910769547744523;-0,304878826728759;-0,3076158703077788;-0,29611447861194756;-0,32132764423705157;-0,31180890307259645;0,011847169223668666;565
0,05259866714477539;0,010409914307729565;0,0040684700012207035;8,873023457828723e-05;1;5;10;{'model__max_depth': 1, 'model__min_samples_split': 5, 'model__n_estimators': 10};-0,3270470355250976;-0,29990383232717727;-0,3084309595771285;-0,29552702505467343;-0,32186029630732765;-0,3105538297582809;0,012195047396219245;562
0,06586031913757324;0,00796009695631547;0,0052868366241455075;0,0019985091187640983;1;5;15;{'model__max_depth': 1, 'model__min_samples_split': 5, 'model__n_estimators': 15};-0,32750360478708634;-0,2989280937454184;-0,3087494560281967;-0,2956737181643014;-0,32152558732084513;-0,3104760920091696;0,012389312694403087;559
0,0813225269317627;0,0053409477398394176;0,005243444442749023;0,000991723528042082;1;5;20;{'model__max_depth': 1, 'model__min_samples_split': 5, 'model__n_estimators': 20};-0,3284126858133844;-0,29615385214407347;-0,30677404830019367;-0,29566547886364;-0,3213400264018664;-0,30966921830463157;0,013226316085999865;550
0,09995884895324707;0,003751819302290283;0,0064351558685302734;0,0008129249877820989;1;5;25;{'model__max_depth': 1, 'model__min_samples_split': 5, 'model__n_estimators': 25};-0,3284255518376468;-0,2973474956364467;-0,3070924763851342;-0,2959504319302759;-0,32144814587257514;-0,3100528203324157;0,01293427213020149;556
0,1572169303894043;0,00857382293787092;0,006275606155395508;0,00031112210106395716;1;5;40;{'model__max_depth': 1, 'model__min_samples_split': 5, 'model__n_estimators': 40};-0,32870015524360796;-0,2965272382588292;-0,30626493695132573;-0,295560015524414;-0,3215143943519372;-0,3097133480660228;0,013310487544322246;553
