locationid;count;pleasant;chaotic;vibrant;uneventful;calm;annoying;eventful;monotonous;ISOPleasant;ISOEventful
CamdenTown;88;2,75;3,795;3,614;2,057;1,807;2,977;3,807;2,545;-0,091;0,405
EustonTap;92;2,467;3,739;3,152;2,761;1,935;3,435;3,261;2,902;-0,214;0,202
MarchmontGarden;90;3,622;2,622;3,122;2,922;3,533;2,433;2,756;2,378;0,244;-0,029
PancrasLock;74;3,608;2,77;3,23;2,797;3,203;2,378;3,162;2,324;0,225;0,072
RegentsParkFields;104;4,231;2,087;3,317;2,856;4,01;1,942;2,913;2,106;0,467;-0,046
RegentsParkJapan;76;4,579;1,737;3,684;2,382;4,303;1,395;3,105;2,066;0,636;0,006
RussellSq;141;4,305;2,22;3,624;2,56;3,681;1,787;3,078;2,22;0,471;0,049
StPaulsCross;59;3,932;2,593;3,559;2,475;3,322;2,068;3,288;2,153;0,349;0,134
StPaulsRow;52;3,481;2,885;3,327;2,577;2,865;2,346;3,308;2,635;0,167;0,128
TateModern;127;4,087;2,748;3,693;2,244;3,016;2,039;3,551;2,047;0,352;0,236
TorringtonSq;101;3,277;3,277;3,475;2,634;2,673;2,752;3,238;2,465;0,084;0,181
