locationid;count;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
CamdenTown;88;80,1;73,43;88,13;84,22;83,0;78,82;75,77;75,215;77,85;71,61;85,83;82,215;80,87;76,59;73,79;73,19;69,93;63,42;78,76;73,925;73,05;68,71;65,38;64,82;33,8;0,0;42,7;30,8;23,85;19,25;18,45;2,09;0,0;3,11;2,555;2,435;2,06;1,835;1,79;0,041;0,019;0,16;0,063;0,054;0,038;0,028;0,026;0,252;0,0;2,16;0,788;0,546;0,147;0,027;0,016;0,016;0,005;0,056;0,041;0,032;0,012;0,007;0,005;0,365;0,209;0,976;0,535;0,472;0,344;0,278;0,263;11,0;0,784;64,5;23,0;18,75;9,145;4,83;3,93;-3,19;-6,52;72,635;45,05;36,725;13,835;-2,47;-4,275
EustonTap;92;77,355;72,52;83,48;80,86;79,61;76,705;74,65;74,24;76,365;71,61;82,63;79,8;78,875;75,645;73,62;73,2;69,34;64,025;76,345;72,51;71,515;68,31;65,89;65,18;29,9;0,0;36,9;28,6;23,8;20,55;19,85;2,22;0,0;3,21;2,55;2,45;2,17;1,98;1,94;0,038;0,019;0,09;0,055;0,05;0,036;0,027;0,025;0,221;0,0;1,7;0,607;0,434;0,114;0,016;0,008;0,012;0,004;0,04;0,03;0,021;0,009;0,005;0,005;0,324;0,208;0,694;0,438;0,399;0,316;0,263;0,25;9,665;0,612;52,7;20,4;16,1;8,32;4,37;3,52;-3,56;-9,65;69,43;44,535;35,91;12,305;-6,0;-7,0
MarchmontGarden;90;71,095;63,44;78,6;75,045;74,135;69,82;66,4;65,775;66,65;60,88;73,735;69,44;68,6;65,795;63,02;62,62;55,375;50,64;64,68;59,16;57,93;54,105;52,15;51,68;11,9;0,0;17,7;11,1;9,02;8,03;7,805;1,62;0,0;2,72;1,95;1,82;1,595;1,46;1,42;0,027;0,013;0,087;0,04;0,037;0,026;0,019;0,018;0,121;0,0;0,93;0,33;0,215;0,046;0,007;0,004;0,014;0,003;0,051;0,034;0,028;0,01;0,005;0,004;0,377;0,205;1,11;0,605;0,509;0,348;0,272;0,256;7,51;0,097;56,0;17,9;13,85;5,95;2,775;2,14;-4,28;-16,5;66,96;28,905;20,845;-0,12;-13,59;-14,66
PancrasLock;74;74,35;64,88;87,41;79,79;76,97;71,32;67,5;66,94;68,99;62,15;78,89;72,45;70,89;67,21;64,58;64,05;58,67;53,185;67,75;61,51;60,71;57,9;55,34;54,91;14,4;0,0;24,6;13,9;11,4;9,6;9,29;1,56;0,0;2,69;1,91;1,78;1,51;1,375;1,35;0,03;0,014;0,1;0,044;0,04;0,029;0,022;0,02;0,142;0,0;0,942;0,388;0,244;0,065;0,014;0,008;0,015;0,003;0,087;0,064;0,031;0,007;0,004;0,004;0,367;0,21;1,23;0,585;0,492;0,338;0,271;0,257;7,155;0,127;66,0;16,3;12,05;5,78;2,785;2,18;-1,18;-16,65;69,81;34,21;26,16;-0,32;-14,63;-15,675
RegentsParkFields;104;66,63;60,06;77,25;70,78;69,175;64,115;62,015;61,485;62,34;57,7;71,85;65,89;64,695;61,05;59,535;59,18;52,48;47,915;63,9;56,46;54,87;51,305;49,295;48,925;9,93;0,0;15,4;9,345;7,54;6,56;6,375;1,64;0,0;2,65;2,01;1,88;1,605;1,4;1,35;0,024;0,011;0,095;0,036;0,032;0,023;0,017;0,016;0,141;0,0;1,21;0,364;0,244;0,039;0,005;0,003;0,014;0,003;0,06;0,042;0,031;0,009;0,004;0,004;0,386;0,202;1,225;0,627;0,538;0,348;0,273;0,255;7,04;0,05;56,1;17,7;13,55;5,53;2,38;1,78;-1,36;-16,845;60,5;27,65;19,84;0,77;-13,88;-14,905
RegentsParkJapan;76;67,465;61,84;72,925;69,6;68,915;66,14;64,275;63,885;64,385;60,71;70,91;67,46;66,545;63,925;62,29;62,075;59,31;58,255;67,48;60,33;60,015;59,24;58,92;58,84;15,25;0,0;23,5;15,0;14,25;13,65;13,5;2,735;0,0;3,445;2,88;2,86;2,74;2,635;2,6;0,027;0,01;0,062;0,039;0,035;0,025;0,018;0,017;0,144;0,0;0,955;0,37;0,249;0,031;0,003;0,0;0,009;0,003;0,031;0,021;0,019;0,007;0,003;0,003;0,327;0,208;0,684;0,426;0,378;0,32;0,265;0,254;7,02;0,122;39,4;14,95;11,55;5,96;2,95;2,355;-2,16;-11,55;56,075;32,38;29,76;14,97;-8,3;-9,36
RussellSq;141;74,25;69,9;80,34;76,79;76,0;73,67;71,97;71,61;71,88;68,4;76,98;73,9;73,37;71,45;69,85;69,51;65,56;61,61;70,38;67,04;66,66;64,93;63,28;63,12;22,5;0,0;26,8;21,8;19,6;17,9;17,2;2,59;0,0;3,16;2,87;2,75;2,6;2,47;2,43;0,029;0,014;0,071;0,041;0,037;0,028;0,021;0,02;0,129;0,0;1,16;0,346;0,235;0,04;0,004;0,001;0,01;0,003;0,033;0,024;0,018;0,007;0,004;0,004;0,3;0,191;0,504;0,378;0,353;0,296;0,247;0,234;7,42;0,423;42,8;16,0;12,1;6,33;3,41;2,74;-2,84;-3,63;66,39;40,03;36,62;17,74;-1,48;-2,55
StPaulsCross;59;68,6;64,53;75,49;71,57;70,75;68,06;66,25;65,85;67,63;63,7;73,89;70,71;69,74;67,05;65,19;64,82;61,67;57,01;70,77;65,04;63,99;60,46;58,26;57,93;17,2;0,0;23,7;16,4;13,4;11,6;11,3;1,76;0,0;3,0;2,11;2,0;1,72;1,59;1,56;0,034;0,016;0,103;0,05;0,044;0,032;0,024;0,022;0,136;0,0;1,22;0,378;0,264;0,059;0,009;0,004;0,016;0,004;0,055;0,044;0,032;0,012;0,005;0,005;0,387;0,21;1,2;0,64;0,545;0,357;0,279;0,263;9,47;0,437;66,3;22,3;17,0;7,61;3,71;2,97;-2,29;-11,27;59,51;35,18;27,28;7,3;-8,0;-9,02
StPaulsRow;52;74,96;68,49;85,5;79,365;78,025;72,84;70,37;69,94;70,515;66,74;78,505;73,57;72,44;69,83;68,18;67,85;63,34;59,915;71,99;66,6;65,54;62,71;61,205;60,85;18,2;0,0;25,75;17,2;14,8;13,6;13,2;1,66;0,0;2,77;1,98;1,87;1,63;1,505;1,48;0,037;0,018;0,106;0,054;0,049;0,036;0,027;0,025;0,154;0,0;1,49;0,443;0,311;0,067;0,013;0,006;0,015;0,005;0,05;0,035;0,024;0,011;0,006;0,006;0,411;0,234;1,21;0,602;0,528;0,386;0,306;0,29;9,36;0,528;58,25;21,45;16,4;7,925;4,08;3,33;-0,94;-12,205;69,35;37,665;28,5;5,54;-8,285;-10,095
TateModern;127;74,29;69,3;83,02;78,24;76,9;73,32;71,33;70,88;71,88;67,65;78,4;74,49;73,56;71,52;69,22;68,85;63,1;58,27;72,37;66,6;65,18;62,08;59,82;59,41;19,0;0,0;25,0;17,9;15,1;13,4;12,9;1,7;0,0;2,6;2,02;1,91;1,68;1,5;1,47;0,034;0,016;0,101;0,05;0,045;0,032;0,024;0,022;0,273;0,0;1,85;0,77;0,57;0,194;0,049;0,031;0,019;0,007;0,06;0,044;0,032;0,016;0,009;0,008;0,404;0,212;1,08;0,619;0,555;0,382;0,297;0,279;11,1;0,824;58,6;23,4;18,7;9,81;5,08;4,15;-1,39;-13,73;67,89;37,79;28,31;4,54;-10,47;-11,69
