locationid;pleasant;eventful;ISOPleasant;ISOEventful
CamdenTown;2,0;4,0;-0,21966991411008935;0,42677669529663703
CamdenTown;4,0;3,0;-1,8394777362344743e-16;0,2500000000000001
CamdenTown;3,0;2,0;-0,46966991411008946;0,17677669529663692
CamdenTown;4,0;2,0;0,1035533905932735;-0,7500000000000001
CamdenTown;3,0;4,0;0,25;0,75
CamdenTown;2,0;4,0;0,07322330470336312;0,676776695296637
CamdenTown;4,0;3,0;0,07322330470336298;0,36611652351681556
CamdenTown;3,0;3,0;-0,14644660940672627;0,14644660940672632
CamdenTown;3,0;5,0;0,10355339059327377;1,0
CamdenTown;4,0;4,0;-0,11611652351681563;0,3232233047033631
CamdenTown;3,0;4,0;-0,14644660940672638;0,35355339059327384
CamdenTown;3,0;3,0;-0,03033008588991079;-0,012563132923541859
CamdenTown;2,0;5,0;0,07322330470336312;0,926776695296637
CamdenTown;2,0;4,0;-0,3964466094067262;0,5
CamdenTown;4,0;5,0;0,2196699141100892;0,32322330470336325
CamdenTown;4,0;2,0;0,3838834764831844;0,26256313292354194
CamdenTown;2,0;5,0;-0,17677669529663698;0,7803300858899107
CamdenTown;2,0;5,0;-0,14644660940672624;0,5606601717798214
CamdenTown;3,0;4,0;-0,3964466094067263;0,0
CamdenTown;2,0;4,0;-4,5986943405861856e-17;0,5428932188134524
CamdenTown;1,0;3,0;-0,45710678118654763;0,35355339059327395
CamdenTown;1,0;5,0;-0,5606601717798214;0,7500000000000001
CamdenTown;4,0;5,0;0,39644660940672616;0,5606601717798214
CamdenTown;3,0;3,0;-0,0732233047033632;0,07322330470336316
CamdenTown;3,0;1,0;0,14644660940672605;-0,6464466094067263
CamdenTown;4,0;4,0;0,13388347648318433;0,676776695296637
CamdenTown;3,0;3,0;-0,2196699141100895;0,17677669529663692
CamdenTown;3,0;3,0;-0,07322330470336326;0,11611652351681563
CamdenTown;2,0;4,0;-0,28033008588991065;0,3838834764831844
CamdenTown;2,0;5,0;-0,10355339059327381;0,8535533905932737
CamdenTown;3,0;5,0;-0,012563132923541859;0,676776695296637
CamdenTown;4,0;4,0;-0,04289321881345256;0,6464466094067263
CamdenTown;4,0;5,0;0,060660171779821165;0,45710678118654763
CamdenTown;4,0;4,0;0,31066017177982114;0,3535533905932738
CamdenTown;2,0;5,0;-0,42677669529663703;0,4267766952966369
CamdenTown;3,0;5,0;0,13388347648318438;0,7803300858899107
CamdenTown;1,0;5,0;-0,3106601717798213;1,0
CamdenTown;4,0;3,0;0,11611652351681544;-0,17677669529663692
CamdenTown;2,0;3,0;-0,42677669529663703;0,07322330470336307
CamdenTown;2,0;3,0;-0,6035533905932737;0,2928932188134525
CamdenTown;4,0;4,0;0,3535533905932737;0,35355339059327384
CamdenTown;2,0;4,0;-0,42677669529663703;0,42677669529663687
CamdenTown;2,0;3,0;-0,14644660940672632;0,14644660940672624
CamdenTown;4,0;3,0;0,13388347648318427;0,07322330470336316
CamdenTown;4,0;3,0;0,1767766952966367;-0,07322330470336298
CamdenTown;3,0;4,0;-0,04289321881345256;0,14644660940672624
CamdenTown;2,0;4,0;-0,3535533905932738;0,35355339059327384
CamdenTown;2,0;4,0;-0,13388347648318447;0,676776695296637
CamdenTown;2,0;4,0;0,07322330470336302;0,42677669529663687
CamdenTown;4,0;5,0;0,4571067811865475;0,8535533905932737
CamdenTown;3,0;3,0;-0,11611652351681563;0,32322330470336313
