locationid;sessionid;recordid;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
SanMarco;SanMarco1;30;72,74;69,12;78,68;75,65;74,48;72,41;70,93;70,45;72,37;68,8;78,61;75,43;74,19;71,94;70,5;70,07;68,14;63,28;77,11;72,12;70,74;67,1;64,78;64,44;24,3;0,0;32,4;22,6;19,0;16,9;16,4;1,81;0,0;2,57;2,13;2,03;1,79;1,63;1,59;0,0402;0,0196;0,12;0,0595;0,0537;0,0387;0,0289;0,0265;0,3;0,0;2,32;0,747;0,56;0,233;0,115;0,0943;0,027;0,0113;0,0654;0,0533;0,0479;0,0224;0,0136;0,0129;0,367;0,185;0,666;0,528;0,489;0,351;0,276;0,26;14,6;1,96;62,7;28,6;24,2;13,0;6,83;5,66;-1,99;-10,84;63,43;40,29;30,96;9,51;-6,71;-8,09
SanMarco;SanMarco1;31;72,74;69,12;78,68;75,65;74,48;72,41;70,93;70,45;72,37;68,8;78,61;75,43;74,19;71,94;70,5;70,07;68,14;63,28;77,11;72,12;70,74;67,1;64,78;64,44;24,3;0,0;32,4;22,6;19,0;16,9;16,4;1,81;0,0;2,57;2,13;2,03;1,79;1,63;1,59;0,0402;0,0196;0,12;0,0595;0,0537;0,0387;0,0289;0,0265;0,3;0,0;2,32;0,747;0,56;0,233;0,115;0,0943;0,027;0,0113;0,0654;0,0533;0,0479;0,0224;0,0136;0,0129;0,367;0,185;0,666;0,528;0,489;0,351;0,276;0,26;14,6;1,96;62,7;28,6;24,2;13,0;6,83;5,66;-1,99;-10,84;63,43;40,29;30,96;9,51;-6,71;-8,09
SanMarco;SanMarco1;32;70,9;68,17;75,07;72,98;72,24;70,61;69,34;68,97;70,73;67,91;75,01;72,87;72,12;70,42;69,11;68,73;66,75;61,78;71,56;69,38;68,73;66,34;64,26;63,87;22,0;0,0;29,5;21,0;18,5;16,6;16,1;1,82;0,0;3,02;2,16;2,01;1,78;1,65;1,62;0,0413;0,0207;0,108;0,0611;0,0543;0,0398;0,0292;0,0265;0,254;0,0;1,7;0,622;0,473;0,208;0,0826;0,0611;0,0171;0,00725;0,0638;0,0304;0,0262;0,0157;0,0104;0,01;0,348;0,196;1,62;0,54;0,466;0,316;0,258;0,245;11,8;1,01;77,8;26,1;20,2;9,88;5,35;4,48;-1,64;-8,69;57,6;38,88;30,32;10,63;-5,23;-6,22
MonumentoGaribaldi;MonumentoGaribaldi1;206;62,27;57,44;67,85;64,73;64,2;61,96;59,16;58,68;61,85;56,94;67,44;64,39;63,79;61,51;58,75;58,26;54,66;47,32;65,01;59,76;58,41;51,78;49,13;48,74;11,3;0,0;19,8;10,4;7,41;6,25;6,03;1,41;0,0;3,61;1,84;1,7;1,36;1,16;1,12;0,026;0,0108;0,125;0,0425;0,0376;0,0246;0,0172;0,0153;0,24;0,0;1,7;0,587;0,436;0,181;0,0629;0,0385;0,0344;0,00762;0,194;0,0954;0,0692;0,0239;0,0139;0,0112;0,481;0,225;1,79;1,08;0,736;0,418;0,297;0,273;11,4;0,136;78,4;28,1;21,9;8,79;3,95;2,99;-2,73;-9,5;55,63;31,49;19,16;9,87;-1,78;-3,57
MonumentoGaribaldi;MonumentoGaribaldi1;3;59,55;56,07;64,06;61,77;61,14;59,21;57,48;57,13;58,96;55,42;63,25;61,26;60,61;58,66;56,75;56,43;49,8;45,3;61,18;53,27;50,96;48,43;46,46;46,13;9,09;0,0;17,4;8,14;6,68;5,64;5,45;1,93;0,0;3,01;2,47;2,37;1,92;1,53;1,46;0,0219;0,0106;0,111;0,0369;0,0294;0,0202;0,0151;0,0141;0,109;0,0;0,43;0,222;0,194;0,0885;0,0181;0,0103;0,0107;0,00448;0,0215;0,0191;0,0168;0,00993;0,00651;0,00533;0,461;0,272;1,5;0,763;0,585;0,424;0,343;0,322;6,66;0,112;46,5;14,1;11,4;5,74;2,81;2,18;-9,08;-7,97;53,15;22,75;19,07;8,73;-5,73;-6,39
MonumentoGaribaldi;MonumentoGaribaldi1;4;56,24;53,33;63,43;58,61;57,78;55,8;54,67;54,36;55,54;52,63;61,76;58,08;57,19;54,97;53,82;53,53;50,35;45,05;61,17;53,52;52,12;48,96;47,1;46,63;7,82;0,0;15,9;7,32;6,06;5,25;5,04;1,72;0,0;2,95;2,17;2,02;1,68;1,46;1,41;0,026;0,0104;0,109;0,044;0,036;0,0237;0,0176;0,0161;0,104;0,0;0,691;0,26;0,181;0,0343;0,00592;0,00301;0,0163;0,00833;0,0736;0,0288;0,0249;0,0141;0,00966;0,00878;0,7;0,333;1,53;1,19;1,08;0,631;0,446;0,406;8,56;0,187;52,7;19,0;14,9;7,36;3,42;2,61;-3,62;-14,51;49,38;23,34;18,61;4,1;-8,99;-10,65
MonumentoGaribaldi;MonumentoGaribaldi1;5;56,24;53,33;63,43;58,61;57,78;55,8;54,67;54,36;55,54;52,63;61,76;58,08;57,19;54,97;53,82;53,53;50,35;45,05;61,17;53,52;52,12;48,96;47,1;46,63;7,82;0,0;15,9;7,32;6,06;5,25;5,04;1,72;0,0;2,95;2,17;2,02;1,68;1,46;1,41;0,026;0,0104;0,109;0,044;0,036;0,0237;0,0176;0,0161;0,104;0,0;0,691;0,26;0,181;0,0343;0,00592;0,00301;0,0163;0,00833;0,0736;0,0288;0,0249;0,0141;0,00966;0,00878;0,7;0,333;1,53;1,19;1,08;0,631;0,446;0,406;8,56;0,187;52,7;19,0;14,9;7,36;3,42;2,61;-3,62;-14,51;49,38;23,34;18,61;4,1;-8,99;-10,65
MonumentoGaribaldi;MonumentoGaribaldi1;203;58,36;54,45;63,95;60,95;60,3;57,77;55,98;55,56;57,43;53,58;63,02;60,06;59,52;56,85;55,05;54,64;53,03;45,38;62,05;57,27;56,36;51,37;47,12;46,73;10,4;0,0;15,3;9,47;6,77;5,35;5,1;1,72;0,0;3,11;2,27;2,14;1,66;1,41;1,36;0,0324;0,0127;0,17;0,0622;0,0516;0,0281;0,0191;0,0174;0,0711;0,0;0,519;0,166;0,11;0,0261;0,00346;0,000675;0,0392;0,00589;0,115;0,104;0,0858;0,0326;0,00936;0,00835;0,712;0,282;1,78;1,28;1,1;0,657;0,424;0,388;10,3;0,376;56,9;26,5;20,6;7,84;3,54;2,8;-2,02;-6,12;48,53;28,51;20,76;8,56;-3,32;-4,15
MonumentoGaribaldi;MonumentoGaribaldi1;6;63,31;59,89;68,44;65,04;64,5;63,15;61,72;61,4;62,3;58,43;65,75;63,71;63,41;62,26;60,66;60,18;50,6;46,91;62,28;53,51;52,33;49,56;48,11;47,87;8,49;0,0;15,8;7,93;6,61;5,93;5,79;1,31;0,0;2,45;1,72;1,57;1,26;1,12;1,09;0,0289;0,0135;0,119;0,0495;0,0398;0,0264;0,0191;0,0176;0,161;0,0;0,904;0,34;0,289;0,136;0,0245;0,014;0,0128;0,00458;0,0346;0,0286;0,0219;0,0115;0,00617;0,00576;0,595;0,252;1,67;1,14;0,982;0,533;0,344;0,315;7,28;0,373;48,9;18,0;13,7;5,76;2,7;2,08;-8,91;-13,23;56,9;24,42;15,66;1,55;-9,56;-10,97
MonumentoGaribaldi;MonumentoGaribaldi1;8;68,68;55,91;80,65;76,22;73,94;61,08;58,15;57,51;68,64;55,31;80,67;76,23;73,94;60,6;57,66;56,97;67,2;48,29;79,27;75,12;72,83;56,34;50,72;49,8;20,6;0,0;32,2;16,5;8,84;6,79;6,49;1,6;0,0;2,65;2,04;1,91;1,56;1,35;1,31;0,0329;0,0117;0,121;0,0628;0,0539;0,0283;0,0192;0,0174;0,216;0,0;1,71;0,646;0,481;0,139;0,0364;0,0227;0,0963;0,01;0,329;0,235;0,206;0,0787;0,0193;0,0135;0,457;0,197;1,06;0,701;0,629;0,43;0,316;0,287;15,8;0,358;120,0;56,2;34,1;9,99;4,65;3,7;-9,7;-16,64;58,41;38,36;26,23;0,76;-12,89;-13,91
