locationid;pleasant;eventful;ISOPleasant;ISOEventful
SanMarco;3,0;3,0;0,17677669529663678;0,36611652351681556
SanMarco;3,0;4,0;0,1767766952966367;-0,1590097423302681
SanMarco;5,0;5,0;0,7071067811865476;0,7071067811865476
MonumentoGaribaldi;2,0;4,0;-0,030330085889910697;0,38388347648318444
MonumentoGaribaldi;5,0;1,0;0,5606601717798213;-0,3535533905932738
MonumentoGaribaldi;4,0;2,0;0,6035533905932737;-0,14644660940672632
MonumentoGaribaldi;3,0;4,0;0,24999999999999992;0,2500000000000001
MonumentoGaribaldi;4,0;2,0;0,2196699141100893;-0,32322330470336313
MonumentoGaribaldi;5,0;3,0;0,6035533905932737;0,14644660940672613
MonumentoGaribaldi;4,0;4,0;0,20710678118654735;-0,14644660940672613
MonumentoGaribaldi;4,0;4,0;0,28033008588991054;0,13388347648318438
MonumentoGaribaldi;4,0;4,0;-0,04289321881345256;0,20710678118654763
MonumentoGaribaldi;5,0;4,0;0,6338834764831843;0,5303300858899108
MonumentoGaribaldi;4,0;3,0;0,10355339059327358;0,14644660940672632
MonumentoGaribaldi;5,0;3,0;0,7803300858899105;-0,17677669529663692
MonumentoGaribaldi;5,0;3,0;0,6338834764831843;-0,2196699141100895
MonumentoGaribaldi;4,0;2,0;0,49999999999999983;-0,20710678118654754
MonumentoGaribaldi;5,0;4,0;0,7803300858899106;0,42677669529663687
SanMarco;2,0;5,0;-0,04289321881345251;0,7071067811865476
SanMarco;4,0;4,0;0,24999999999999986;0,5
SanMarco;2,0;4,0;-0,14644660940672632;0,4393398282201787
SanMarco;3,0;4,0;-9,197388681172371e-17;0,6035533905932737
SanMarco;5,0;3,0;0,6338834764831843;-0,11611652351681571
SanMarco;5,0;3,0;0,8535533905932738;0,06066017177982121
SanMarco;4,0;3,0;0,17677669529663675;-0,07322330470336307
SanMarco;4,0;4,0;0,3964466094067262;0,16421356237309506
SanMarco;3,0;3,0;-9,197388681172371e-17;9,197388681172371e-17
SanMarco;5,0;4,0;0,3838834764831843;0,23743686707645834
SanMarco;5,0;4,0;0,4874368670764581;0,42677669529663703
SanMarco;3,0;4,0;0,030330085889910558;0,3232233047033631
SanMarco;1,0;5,0;-0,3838834764831845;0,36611652351681573
SanMarco;3,0;3,0;-0,07322330470336316;0,3661165235168156
SanMarco;3,0;2,0;0,07322330470336298;-0,030330085889910607
SanMarco;4,0;4,0;0,10355339059327358;0,10355339059327377
SanMarco;3,0;2,0;0,573223304703363;0,1767766952966369
SanMarco;4,0;3,0;0,6767766952966369;-0,07322330470336316
SanMarco;4,0;4,0;0,13388347648318438;0,8232233047033631
SanMarco;5,0;4,0;0,8535533905932737;0,06066017177982121
SanMarco;5,0;4,0;0,6338834764831843;0,5303300858899106
SanMarco;3,0;3,0;-1,8394777362344743e-16;-9,197388681172371e-17
SanMarco;5,0;5,0;0,28033008588991054;0,7803300858899107
SanMarco;2,0;5,0;-0,20710678118654763;0,5606601717798214
