locationid;sessionid;groupid;recordid;start_time;end_time;latitude;longitude;language;survey_version;ssi01;ssi02;ssi03;ssi04;pleasant;chaotic;vibrant;uneventful;calm;annoying;eventful;monotonous;sss01;sss02;sss03;sss04;sss05;who01;who02;who03;who04;who05;who_sum;age00;gen00;edu00;eth00;occ00;eth00_other;occ00_other;misc03;misc03_other;misc01;use00;uni00;recordinglength;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;sil4_sil(rms);sil4_sil(av);sil4_min;sil4_max;sil4_sil5;sil4_sil10;sil4_sil50;sil4_sil90;sil4_sil95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1097;11;2019-03-31 10:31:00;;;;cmn;cmnSSIDv3;3,0;4,0;3,0;2,0;5,0;2,0;4,0;4,0;4,0;2,0;3,0;3,0;3,0;3,0;2,0;2,0;3,0;3,0;2,0;3,0;2,0;2,0;48,0;32,0;Male;UniversityGraduate;;Employed;;;;;;Staying;Alone;35,92;82,54;75,67;91,4;85,91;85,04;81,75;78,95;78,28;80,67;74,81;85,87;84,06;83,11;79,86;77,61;77,06;73,27;67,47;83,76;76,0;75,09;72,49;70,46;69,97;33,4;0,0;45,9;32,3;28,2;24,9;23,9;2,11;0,0;2,86;2,37;2,29;2,1;1,94;1,89;0,0499;0,0212;0,177;0,0865;0,0736;0,046;0,0314;0,0287;0,714;0,0;3,7;1,42;1,18;0,645;0,253;0,19;0,0745;0,0353;0,122;0,114;0,11;0,0739;0,0517;0,0415;0,35;0,015;0,769;0,494;0,459;0,342;0,255;0,236;64,22;63,43;59,85;71,75;66,4;65,45;63,26;61,58;61,17;20,4;2,68;77,1;38,1;32,4;18,6;10,3;8,66;-5,69;-5,27;76,91;45,63;37,53;14,1;-1,95;-2,72
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2129;11;2019-04-02 10:22:00;;;;cmn;cmnSSIDv3;2,0;2,0;3,0;3,0;4,0;2,0;4,0;4,0;4,0;2,0;2,0;2,0;3,0;3,0;1,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;60,0;40,0;Female;SomeCollege;;Unemployed;;;;;;Arriving;Group;96,71;71,19;67,27;79,97;73,11;72,56;70,91;69,45;69,04;69,09;65,5;76,14;71,1;70,45;68,89;67,48;67,07;65,38;59,48;77,14;67,99;67,39;65,11;62,27;61,64;20,3;0,0;35,2;19,4;16,7;14,6;14,2;2,17;0,0;4,48;2,48;2,43;2,17;1,88;1,81;0,032;0,0134;0,103;0,0485;0,0434;0,0306;0,0225;0,0208;0,492;0,0;2,19;1,32;0,984;0,399;0,117;0,0815;0,0178;0,00619;0,0841;0,0334;0,0278;0,0157;0,01;0,00932;0,322;0,123;1,99;0,465;0,411;0,307;0,242;0,22;57,49;56,78;51,7;63,86;59,93;59,35;56,68;54,52;53,96;11,5;0,726;122,0;21,3;18,2;10,7;5,78;4,73;-2,11;-1,65;62,44;40,72;29,84;15,66;6,36;4,04
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1097;12;2019-03-31 10:31:00;;;;cmn;cmnSSIDv3;2,0;1,0;3,0;2,0;5,0;1,0;5,0;4,0;4,0;2,0;2,0;4,0;5,0;4,0;1,0;4,0;4,0;5,0;4,0;5,0;4,0;5,0;92,0;38,0;Male;SomeHighSchool;;Employed;;;;;;Staying;Alone;35,92;82,54;75,67;91,4;85,91;85,04;81,75;78,95;78,28;80,67;74,81;85,87;84,06;83,11;79,86;77,61;77,06;73,27;67,47;83,76;76,0;75,09;72,49;70,46;69,97;33,4;0,0;45,9;32,3;28,2;24,9;23,9;2,11;0,0;2,86;2,37;2,29;2,1;1,94;1,89;0,0499;0,0212;0,177;0,0865;0,0736;0,046;0,0314;0,0287;0,714;0,0;3,7;1,42;1,18;0,645;0,253;0,19;0,0745;0,0353;0,122;0,114;0,11;0,0739;0,0517;0,0415;0,35;0,015;0,769;0,494;0,459;0,342;0,255;0,236;64,22;63,43;59,85;71,75;66,4;65,45;63,26;61,58;61,17;20,4;2,68;77,1;38,1;32,4;18,6;10,3;8,66;-5,69;-5,27;76,91;45,63;37,53;14,1;-1,95;-2,72
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2130;12;2019-04-02 10:24:00;;;;cmn;cmnSSIDv3;4,0;4,0;4,0;2,0;3,0;4,0;3,0;4,0;2,0;4,0;3,0;4,0;3,0;3,0;3,0;2,0;3,0;2,0;2,0;3,0;3,0;4,0;56,0;23,0;Male;SomePostgraduate;;Other;;;;;;Leaving;Group;60,53;71,45;67,09;76,59;74,02;73,26;71,14;69,28;68,75;69,29;64,78;74,91;72,07;71,44;68,72;66,9;66,57;63,22;56,09;74,43;66,75;65,61;61,89;59,13;58,2;19,5;0,0;30,2;18,5;14,5;12,1;11,4;1,9;0,0;3,45;2,35;2,19;1,87;1,66;1,61;0,0303;0,0139;0,0788;0,0457;0,0405;0,029;0,0217;0,0195;0,347;0,0;2,96;1,07;0,767;0,218;0,0557;0,034;0,0298;0,00552;0,136;0,101;0,0495;0,0245;0,0105;0,00839;0,347;0,159;1,15;0,521;0,456;0,328;0,26;0,239;55,82;54,06;47,58;65,36;58,4;57,11;54,03;50,88;50,1;12,4;0,327;76,9;26,1;21,8;10,7;5,17;4,06;-3,07;-12,87;62,73;39,7;29,41;5,46;-10,34;-10,99
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1097;13;2019-03-31 10:32:00;;;;cmn;cmnSSIDv3;4,0;2,0;3,0;2,0;3,0;3,0;3,0;4,0;3,0;2,0;3,0;3,0;3,0;3,0;2,0;3,0;3,0;3,0;3,0;2,0;3,0;3,0;56,0;32,0;Male;UniversityGraduate;;Employed;;;;;;Staying;Group;35,92;82,54;75,67;91,4;85,91;85,04;81,75;78,95;78,28;80,67;74,81;85,87;84,06;83,11;79,86;77,61;77,06;73,27;67,47;83,76;76,0;75,09;72,49;70,46;69,97;33,4;0,0;45,9;32,3;28,2;24,9;23,9;2,11;0,0;2,86;2,37;2,29;2,1;1,94;1,89;0,0499;0,0212;0,177;0,0865;0,0736;0,046;0,0314;0,0287;0,714;0,0;3,7;1,42;1,18;0,645;0,253;0,19;0,0745;0,0353;0,122;0,114;0,11;0,0739;0,0517;0,0415;0,35;0,015;0,769;0,494;0,459;0,342;0,255;0,236;64,22;63,43;59,85;71,75;66,4;65,45;63,26;61,58;61,17;20,4;2,68;77,1;38,1;32,4;18,6;10,3;8,66;-5,69;-5,27;76,91;45,63;37,53;14,1;-1,95;-2,72
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2130;13;2019-04-02 10:24:00;;;;cmn;cmnSSIDv3;3,0;4,0;4,0;2,0;3,0;3,0;3,0;4,0;2,0;3,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0;2,0;3,0;3,0;2,0;2,0;48,0;23,0;Female;UniversityGraduate;;Employed;;;;;;Leaving;Group;60,53;71,45;67,09;76,59;74,02;73,26;71,14;69,28;68,75;69,29;64,78;74,91;72,07;71,44;68,72;66,9;66,57;63,22;56,09;74,43;66,75;65,61;61,89;59,13;58,2;19,5;0,0;30,2;18,5;14,5;12,1;11,4;1,9;0,0;3,45;2,35;2,19;1,87;1,66;1,61;0,0303;0,0139;0,0788;0,0457;0,0405;0,029;0,0217;0,0195;0,347;0,0;2,96;1,07;0,767;0,218;0,0557;0,034;0,0298;0,00552;0,136;0,101;0,0495;0,0245;0,0105;0,00839;0,347;0,159;1,15;0,521;0,456;0,328;0,26;0,239;55,82;54,06;47,58;65,36;58,4;57,11;54,03;50,88;50,1;12,4;0,327;76,9;26,1;21,8;10,7;5,17;4,06;-3,07;-12,87;62,73;39,7;29,41;5,46;-10,34;-10,99
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1098;14;2019-03-31 10:39:00;;;;cmn;cmnSSIDv3;3,0;2,0;2,0;2,0;4,0;3,0;4,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;2,0;3,0;2,0;3,0;3,0;2,0;2,0;48,0;31,0;Male;UniversityGraduate;;Employed;;;;;;Staying;Alone;148,69;84,54;76,22;98,18;88,34;86,72;82,79;79,98;79,32;82,98;75,24;91,7;86,33;85,38;82,18;79,49;78,81;77,53;70,42;90,63;80,82;79,35;76,32;74,11;73,46;45,0;0,0;84,1;41,7;36,1;31,8;30,6;2,52;0,0;5,38;3,0;2,84;2,5;2,18;2,1;0,0488;0,0167;0,176;0,0774;0,0684;0,0464;0,032;0,0292;0,915;0,0;5,81;2,11;1,68;0,804;0,328;0,254;0,0631;0,0217;0,253;0,121;0,103;0,0575;0,0355;0,0308;0,325;0,0973;1,21;0,463;0,415;0,315;0,234;0,211;69,56;67,73;61,16;82,97;72,65;70,45;67,42;65,08;64,47;23,0;3,1;99,8;41,6;35,6;21,3;12,4;10,4;-3,64;-1,4;77,05;52,32;42,41;19,6;4,58;2,69
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2130;14;2019-04-02 10:24:00;;;;cmn;cmnSSIDv3;2,0;3,0;3,0;2,0;5,0;2,0;5,0;3,0;4,0;1,0;2,0;1,0;3,0;3,0;3,0;4,0;5,0;3,0;1,0;1,0;1,0;3,0;36,0;24,0;Female;UniversityGraduate;;Employed;;;;;;Leaving;Group;60,53;71,45;67,09;76,59;74,02;73,26;71,14;69,28;68,75;69,29;64,78;74,91;72,07;71,44;68,72;66,9;66,57;63,22;56,09;74,43;66,75;65,61;61,89;59,13;58,2;19,5;0,0;30,2;18,5;14,5;12,1;11,4;1,9;0,0;3,45;2,35;2,19;1,87;1,66;1,61;0,0303;0,0139;0,0788;0,0457;0,0405;0,029;0,0217;0,0195;0,347;0,0;2,96;1,07;0,767;0,218;0,0557;0,034;0,0298;0,00552;0,136;0,101;0,0495;0,0245;0,0105;0,00839;0,347;0,159;1,15;0,521;0,456;0,328;0,26;0,239;55,82;54,06;47,58;65,36;58,4;57,11;54,03;50,88;50,1;12,4;0,327;76,9;26,1;21,8;10,7;5,17;4,06;-3,07;-12,87;62,73;39,7;29,41;5,46;-10,34;-10,99
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1098;15;2019-03-31 10:39:00;;;;cmn;cmnSSIDv3;1,0;2,0;4,0;1,0;4,0;3,0;4,0;3,0;2,0;2,0;4,0;1,0;3,0;3,0;2,0;1,0;2,0;3,0;2,0;3,0;2,0;3,0;52,0;22,0;Male;UniversityGraduate;;Student;;;;;;Arriving;Couple;148,69;84,54;76,22;98,18;88,34;86,72;82,79;79,98;79,32;82,98;75,24;91,7;86,33;85,38;82,18;79,49;78,81;77,53;70,42;90,63;80,82;79,35;76,32;74,11;73,46;45,0;0,0;84,1;41,7;36,1;31,8;30,6;2,52;0,0;5,38;3,0;2,84;2,5;2,18;2,1;0,0488;0,0167;0,176;0,0774;0,0684;0,0464;0,032;0,0292;0,915;0,0;5,81;2,11;1,68;0,804;0,328;0,254;0,0631;0,0217;0,253;0,121;0,103;0,0575;0,0355;0,0308;0,325;0,0973;1,21;0,463;0,415;0,315;0,234;0,211;69,56;67,73;61,16;82,97;72,65;70,45;67,42;65,08;64,47;23,0;3,1;99,8;41,6;35,6;21,3;12,4;10,4;-3,64;-1,4;77,05;52,32;42,41;19,6;4,58;2,69
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2131;15;2019-04-02 10:28:00;;;;cmn;cmnSSIDv3;4,0;3,0;4,0;3,0;4,0;2,0;4,0;3,0;4,0;2,0;4,0;3,0;4,0;3,0;4,0;4,0;4,0;1,0;4,0;3,0;3,0;3,0;56,0;27,0;Female;UniversityGraduate;;Employed;;;;;;Staying;Group;225,24;72,88;66,4;83,77;75,9;74,9;72,12;70,14;69,49;71,09;64,57;79,63;74,04;73,07;70,52;68,55;67,65;66,12;57,62;78,37;68,7;67,86;65,61;63,34;62,31;21,5;0,0;38,4;20,7;18,2;15,4;14,2;1,98;0,0;3,09;2,35;2,25;1,97;1,73;1,66;0,0347;0,0141;0,152;0,052;0,0469;0,0333;0,024;0,0219;0,462;0,0;2,44;1,15;0,902;0,374;0,13;0,0888;0,036;0,00838;0,135;0,0647;0,0562;0,0334;0,0197;0,0167;0,325;0,101;1,08;0,479;0,422;0,314;0,237;0,213;57,9;56,94;49,05;70,26;60,19;59,28;57,01;54,44;53,37;14,3;1,02;87,3;27,2;23,2;13,0;7,06;5,77;-0,43;-9,98;63,45;41,6;32,67;6,0;-6,55;-7,89
