locationid;count;pleasant;chaotic;vibrant;uneventful;calm;annoying;eventful;monotonous;ISOPleasant;ISOEventful
CamdenTown;88;3,0;4,0;4,0;2,0;2,0;3,0;4,0;2,5;-0,088;0,36
CampoPrincipe;98;5,0;2,0;3,0;3,0;4,0;1,0;3,0;2,0;0,561;-0,073
CarloV;90;5,0;2,0;3,5;2,0;4,0;2,0;3,0;2,0;0,53;0,03
EustonTap;92;2,0;4,0;3,0;3,0;2,0;3,5;3,0;3,0;-0,207;0,177
MarchmontGarden;90;4,0;2,5;3,0;3,0;4,0;2,0;3,0;2,0;0,28;-0,073
MiradorSanNicolas;27;5,0;2,0;3,0;2,0;4,0;1,0;4,0;2,0;0,457;0,177
MonumentoGaribaldi;23;4,0;2,0;3,0;3,0;4,0;2,0;3,0;2,0;0,47;0,03
Noorderplantsoen;84;4,0;3,0;4,0;2,0;4,0;2,0;4,0;1,0;0,5;0,384
PancrasLock;74;4,0;3,0;3,0;3,0;3,0;2,0;3,0;2,0;0,229;0,104
PlazaBibRambla;17;5,0;2,0;3,0;3,0;4,0;1,0;3,0;2,0;0,561;0,0
RegentsParkFields;104;5,0;2,0;3,0;3,0;4,0;2,0;3,0;2,0;0,545;-0,052
RegentsParkJapan;76;5,0;1,0;4,0;2,0;5,0;1,0;3,0;2,0;0,692;0,037
RussellSq;141;4,0;2,0;4,0;2,0;4,0;1,0;3,0;2,0;0,53;0,03
SanMarco;87;3,0;4,0;4,0;2,0;2,0;2,0;4,0;2,0;0,177;0,366
StPaulsCross;59;4,0;3,0;4,0;2,0;4,0;2,0;3,0;2,0;0,414;0,134
StPaulsRow;52;4,0;3,0;3,5;2,0;2,5;2,0;3,0;3,0;0,177;0,073
TateModern;127;4,0;3,0;4,0;2,0;3,0;2,0;4,0;2,0;0,384;0,207
TorringtonSq;101;3,0;4,0;4,0;3,0;3,0;3,0;3,0;2,0;0,073;0,177
