locationid;count;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
CamdenTown;88;81,221;74,121;88,552;85,072;83,831;79,962;76,892;76,205;79,526;72,552;86,603;83,438;82,186;78,14;75,203;74,555;72,114;64,545;80,583;76,315;74,965;70,11;66,819;66,216;38,892;0,0;50,444;35,699;26,999;21,849;20,85;2,244;0,0;3,644;2,901;2,72;2,178;1,889;1,832;0,047;0,02;0,206;0,087;0,069;0,042;0,03;0,028;0,362;0,0;2,888;1,089;0,779;0,215;0,054;0,035;0,034;0,011;0,113;0,086;0,063;0,027;0,015;0,013;0,392;0,201;1,012;0,597;0,527;0,372;0,286;0,265;13,48;1,179;68,953;27,903;22,752;11,801;6,201;5,099;-3,726;-5,628;73,365;46,334;38,526;15,553;-1,711;-3,168
CampoPrincipe;98;67,215;60,578;75,89;70,511;69,289;65,761;62,828;62,203;66,16;59,563;73,837;69,551;68,49;65,093;62,048;61,337;63,125;56,293;70,738;66,832;65,721;62,13;58,802;58,07;18,789;0,0;24,435;17,817;14,608;12,116;11,551;2,105;0,0;2,929;2,39;2,301;2,089;1,955;1,922;0,033;0,015;0,092;0,052;0,046;0,031;0,023;0,021;0,165;0,0;1,2;0,44;0,335;0,107;0,029;0,019;0,018;0,008;0,041;0,032;0,028;0,017;0,011;0,009;0,341;0,218;0,661;0,433;0,407;0,337;0,279;0,263;9,368;0,508;38,408;18,412;15,483;8,439;4,338;3,485;-0,729;-11,862;55,142;35,943;30,147;7,666;-8,065;-9,878
CarloV;90;69,604;57,671;81,869;75,1;73,098;65,385;60,907;60,012;63,832;55,171;74,883;68,439;66,678;61,49;58,145;57,519;57,937;48,806;67,894;62,58;60,949;55,892;52,282;51,487;14,177;0,0;20,846;12,958;9,602;7,542;7,118;1,779;0,0;2,98;2,302;2,151;1,728;1,491;1,439;0,028;0,012;0,095;0,045;0,039;0,026;0,019;0,017;0,237;0,0;1,629;0,661;0,483;0,163;0,052;0,035;0,035;0,013;0,081;0,065;0,055;0,033;0,019;0,017;0,457;0,194;1,264;0,745;0,648;0,427;0,314;0,288;13,756;1,058;62,664;28,112;23,547;12,221;6,033;4,874;-1,411;-14,192;64,89;31,155;23,741;2,874;-10,977;-12,007
EustonTap;92;77,447;72,758;83,256;80,476;79,569;76,757;74,756;74,314;76,444;71,748;82,352;79,53;78,655;75,689;73,703;73,275;69,353;64,216;76,849;72,771;71,703;68,231;65,935;65,379;30,875;0,0;40,558;29,205;23,777;20,648;19,997;2,224;0,0;3,479;2,646;2,516;2,182;1,994;1,954;0,038;0,019;0,115;0,058;0,051;0,036;0,027;0,025;0,24;0,0;2,004;0,722;0,509;0,131;0,027;0,016;0,013;0,004;0,049;0,032;0,024;0,01;0,006;0,005;0,339;0,202;0,78;0,487;0,432;0,326;0,266;0,251;9,692;0,734;57,554;20,137;16,323;8,484;4,511;3,688;-3,945;-9,517;69,755;44,361;36,282;12,697;-5,878;-7,051
MarchmontGarden;90;71,203;63,972;79,691;74,985;73,652;69,856;66,944;66,313;66,624;61,004;74,224;69,969;68,873;65,658;63,318;62,793;55,708;50,616;65,002;59,505;58,135;54,118;52,003;51,605;12,791;0,0;18,142;11,904;9,183;7,975;7,74;1,652;0,0;2,768;2,077;1,952;1,604;1,451;1,417;0,028;0,013;0,127;0,047;0,039;0,026;0,019;0,018;0,148;0,0;1,03;0,41;0,291;0,061;0,01;0,005;0,019;0,004;0,078;0,058;0,044;0,013;0,006;0,005;0,388;0,204;1,207;0,635;0,542;0,356;0,275;0,257;7,868;0,136;59,14;19,097;14,92;6,288;2,823;2,187;-4,085;-16,153;66,403;29,431;21,698;0,326;-13,173;-14,092
MiradorSanNicolas;27;73,693;64,612;83,742;78,33;76,916;71,624;67,689;66,854;71,031;63,357;80,91;75,372;74,047;69,175;66,165;65,484;66,69;57,42;77,429;71,318;69,783;64,362;60,614;59,869;23,041;0,0;33,607;21,148;15,753;12,539;11,894;1,806;0,0;2,885;2,236;2,112;1,774;1,552;1,501;0,043;0,016;0,194;0,082;0,066;0,037;0,026;0,023;0,385;0,0;2,286;1,136;0,806;0,288;0,105;0,078;0,062;0,02;0,185;0,141;0,114;0,05;0,028;0,025;0,467;0,194;1,361;0,789;0,688;0,431;0,304;0,277;18,07;1,887;89,093;37,481;30,848;15,819;8,204;6,709;-1,128;-12,354;65,532;39,607;30,991;7,23;-9,191;-10,389
MonumentoGaribaldi;23;61,805;56,201;68,937;65,078;64,154;60,629;58,183;57,698;60,933;55,247;68,031;64,139;63,233;59,738;57,246;56,727;54,811;46,948;65,4;59,101;57,621;52,494;49,17;48,632;11,262;0,0;17,878;10,182;7,594;6,153;5,885;1,573;0,0;2,689;2,007;1,884;1,531;1,326;1,283;0,03;0,012;0,135;0,054;0,045;0,027;0,019;0,017;0,175;0,0;1,194;0,461;0,344;0,115;0,026;0,015;0,029;0,007;0,099;0,069;0,057;0,023;0,01;0,009;0,502;0,235;1,328;0,849;0,733;0,465;0,331;0,304;9,915;0,287;57,696;24,139;18,587;8,03;3,62;2,809;-4,516;-12,285;53,61;28,417;19,911;3,9;-8,797;-9,833
Noorderplantsoen;84;66,163;58,624;74,535;70,739;69,217;64,1;60,85;60,241;65,048;57,67;73,074;69,512;68,02;63,02;59,841;59,223;58,582;50,089;68,168;63,345;61,634;55,993;52,115;51,447;17,956;0,0;25,469;15,957;10,718;8,265;7,865;1,974;0,0;3,258;2,552;2,382;1,932;1,65;1,593;0,035;0,012;0,162;0,078;0,061;0,029;0,019;0,017;0,253;0,0;1,237;0,579;0,45;0,176;0,064;0,051;0,019;0,005;0,062;0,049;0,038;0,015;0,007;0,006;0,448;0,204;1,328;0,762;0,651;0,412;0,293;0,269;8,872;0,333;64,181;21,186;16,538;7,186;3,312;2,587;-3,342;-9,085;57,533;33,141;26,484;9,132;-6,121;-6,952
PancrasLock;74;74,187;65,754;84,989;78,667;76,79;71,939;68,569;67,921;69,429;63,235;77,687;72,818;71,651;68,015;65,402;64,885;59,213;54,088;68,308;62,404;61,309;58,198;55,849;55,409;15,127;0,0;23,351;14,341;11,841;10,13;9,823;1,606;0,0;2,699;1,941;1,838;1,576;1,428;1,394;0,031;0,014;0,101;0,046;0,04;0,029;0,022;0,02;0,161;0,0;1,169;0,446;0,323;0,097;0,02;0,012;0,016;0,004;0,099;0,054;0,032;0,01;0,005;0,005;0,378;0,201;1,196;0,621;0,528;0,346;0,271;0,255;7,824;0,174;63,489;18,065;13,904;6,351;3,05;2,396;-2,659;-15,471;69,339;33,964;26,337;0,804;-12,966;-13,727
PlazaBibRambla;17;68,766;63,768;77,799;71,899;70,762;67,701;65,425;64,984;67,785;62,824;76,732;70,919;69,822;66,674;64,492;64,046;64,805;58,57;74,669;68,485;67,052;63,343;60,594;60,006;19,506;0,0;31,024;18,241;15,129;13,094;12,647;1,987;0,0;2,996;2,293;2,195;1,962;1,822;1,792;0,034;0,016;0,122;0,051;0,045;0,032;0,024;0,022;0,272;0,0;2,014;0,736;0,545;0,194;0,057;0,039;0,028;0,01;0,076;0,061;0,049;0,024;0,015;0,013;0,354;0,19;1,388;0,531;0,458;0,33;0,262;0,246;12,761;0,966;84,4;26,759;21,647;11,108;5,63;4,568;-1,291;-11,959;57,518;38,346;29,969;7,863;-8,328;-9,362
