locationid;count;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
CamdenTown;88;80,1;73,43;88,13;84,22;83,0;78,82;75,77;75,215;77,85;71,61;85,83;82,215;80,87;76,59;73,79;73,19;69,93;63,42;78,76;73,925;73,05;68,71;65,38;64,82;33,8;0,0;42,7;30,8;23,85;19,25;18,45;2,09;0,0;3,11;2,555;2,435;2,06;1,835;1,79;0,041;0,019;0,16;0,063;0,054;0,038;0,028;0,026;0,252;0,0;2,16;0,788;0,546;0,147;0,027;0,016;0,016;0,005;0,056;0,041;0,032;0,012;0,007;0,005;0,365;0,209;0,976;0,535;0,472;0,344;0,278;0,263;11,0;0,784;64,5;23,0;18,75;9,145;4,83;3,93;-3,19;-6,52;72,635;45,05;36,725;13,835;-2,47;-4,275
CampoPrincipe;98;67,48;60,79;74,12;71,08;70,13;66,51;63,6;62,65;67,23;59,76;74,1;70,98;69,89;66,21;63,0;61,97;65,09;56,68;72,7;69,17;67,94;63,91;59,97;59,13;20,2;0,0;26,0;19,3;15,7;12,7;12,1;2,12;0,0;2,91;2,34;2,255;2,12;2,01;1,97;0,035;0,015;0,087;0,055;0,049;0,033;0,024;0,021;0,185;0,0;1,14;0,497;0,397;0,116;0,029;0,018;0,018;0,008;0,035;0,029;0,024;0,017;0,011;0,009;0,333;0,223;0,597;0,424;0,404;0,331;0,276;0,263;8,85;0,393;37,6;16,6;14,2;8,16;4,31;3,48;-0,37;-11,66;53,03;37,22;31,5;8,19;-8,41;-10,22
CarloV;90;70,0;58,54;82,545;76,57;73,755;68,0;62,19;61,19;65,2;56,03;75,955;70,245;69,11;62,33;59,305;58,39;58,59;49,59;69,96;62,36;61,17;57,23;53,815;52,82;13,2;0,0;20,2;12,4;9,99;7,965;7,525;1,81;0,0;2,94;2,275;2,155;1,76;1,53;1,48;0,028;0,013;0,087;0,044;0,038;0,026;0,019;0,018;0,222;0,0;1,55;0,646;0,444;0,158;0,047;0,031;0,034;0,012;0,088;0,067;0,059;0,033;0,018;0,016;0,452;0,198;1,17;0,743;0,645;0,424;0,306;0,274;12,7;0,912;59,6;28,4;23,1;10,75;5,03;4,015;-1,22;-15,71;65,7;32,16;23,71;3,065;-12,735;-13,955
EustonTap;92;77,355;72,52;83,48;80,86;79,61;76,705;74,65;74,24;76,365;71,61;82,63;79,8;78,875;75,645;73,62;73,2;69,34;64,025;76,345;72,51;71,515;68,31;65,89;65,18;29,9;0,0;36,9;28,6;23,8;20,55;19,85;2,22;0,0;3,21;2,55;2,45;2,17;1,98;1,94;0,038;0,019;0,09;0,055;0,05;0,036;0,027;0,025;0,221;0,0;1,7;0,607;0,434;0,114;0,016;0,008;0,012;0,004;0,04;0,03;0,021;0,009;0,005;0,005;0,324;0,208;0,694;0,438;0,399;0,316;0,263;0,25;9,665;0,612;52,7;20,4;16,1;8,32;4,37;3,52;-3,56;-9,65;69,43;44,535;35,91;12,305;-6,0;-7,0
MarchmontGarden;90;71,095;63,44;78,6;75,045;74,135;69,82;66,4;65,775;66,65;60,88;73,735;69,44;68,6;65,795;63,02;62,62;55,375;50,64;64,68;59,16;57,93;54,105;52,15;51,68;11,9;0,0;17,7;11,1;9,02;8,03;7,805;1,62;0,0;2,72;1,95;1,82;1,595;1,46;1,42;0,027;0,013;0,087;0,04;0,037;0,026;0,019;0,018;0,121;0,0;0,93;0,33;0,215;0,046;0,007;0,004;0,014;0,003;0,051;0,034;0,028;0,01;0,005;0,004;0,377;0,205;1,11;0,605;0,509;0,348;0,272;0,256;7,51;0,097;56,0;17,9;13,85;5,95;2,775;2,14;-4,28;-16,5;66,96;28,905;20,845;-0,12;-13,59;-14,66
MiradorSanNicolas;27;73,08;65,56;82,05;76,99;76,05;71,02;68,5;67,37;71,38;64,44;81,07;75,72;74,69;69,93;67,1;66,24;66,45;57,34;78,62;71,43;69,81;64,13;59,9;59,25;21,1;0,0;34,4;19,2;15,2;12,1;11,6;1,78;0,0;2,83;2,16;2,05;1,76;1,55;1,5;0,037;0,015;0,158;0,064;0,053;0,034;0,025;0,022;0,363;0,0;2,05;1,03;0,784;0,273;0,106;0,079;0,051;0,018;0,154;0,112;0,083;0,041;0,025;0,022;0,433;0,2;1,34;0,676;0,626;0,409;0,3;0,272;17,8;1,85;82,5;37,2;30,1;15,8;8,15;6,67;-0,78;-12,75;63,11;39,54;30,08;7,01;-9,15;-10,25
MonumentoGaribaldi;23;62,0;56,07;68,44;65,04;64,5;60,84;58,2;57,64;60,36;55,31;66,83;63,66;62,6;59,99;57,66;56,97;53,6;46,5;63,83;57,44;56,32;51,78;48,22;47,87;10,1;0,0;15,9;9,39;7,06;5,93;5,62;1,56;0,0;2,65;1,96;1,84;1,54;1,34;1,29;0,029;0,012;0,121;0,048;0,04;0,026;0,018;0,017;0,165;0,0;1,17;0,488;0,349;0,133;0,024;0,012;0,021;0,006;0,075;0,043;0,039;0,019;0,01;0,009;0,459;0,236;1,25;0,731;0,629;0,43;0,32;0,299;8,97;0,255;48,9;19,2;16,1;7,36;3,42;2,61;-2,82;-13,23;54,96;27,68;19,07;3,97;-9,5;-10,65
Noorderplantsoen;84;65,64;58,3;74,92;71,065;68,985;64,07;60,39;59,93;64,345;56,91;72,71;69,21;68,05;63,045;59,62;58,935;57,91;49,94;68,285;62,65;61,11;56,14;52,05;51,24;16,7;0,0;23,6;15,1;10,65;8,195;7,77;1,99;0,0;3,33;2,52;2,38;1,96;1,67;1,615;0,031;0,012;0,127;0,052;0,044;0,026;0,018;0,016;0,176;0,0;1,195;0,494;0,349;0,082;0,012;0,006;0,016;0,005;0,051;0,042;0,032;0,013;0,006;0,005;0,445;0,214;1,23;0,75;0,63;0,413;0,302;0,281;8,49;0,32;55,8;19,5;15,6;6,785;3,25;2,52;-2,12;-9,715;56,715;32,55;25,56;8,83;-6,6;-7,37
PancrasLock;74;74,35;64,88;87,41;79,79;76,97;71,32;67,5;66,94;68,99;62,15;78,89;72,45;70,89;67,21;64,58;64,05;58,67;53,185;67,75;61,51;60,71;57,9;55,34;54,91;14,4;0,0;24,6;13,9;11,4;9,6;9,29;1,56;0,0;2,69;1,91;1,78;1,51;1,375;1,35;0,03;0,014;0,1;0,044;0,04;0,029;0,022;0,02;0,142;0,0;0,942;0,388;0,244;0,065;0,014;0,008;0,015;0,003;0,087;0,064;0,031;0,007;0,004;0,004;0,367;0,21;1,23;0,585;0,492;0,338;0,271;0,257;7,155;0,127;66,0;16,3;12,05;5,78;2,785;2,18;-1,18;-16,65;69,81;34,21;26,16;-0,32;-14,63;-15,675
PlazaBibRambla;17;68,71;63,46;76,67;71,5;70,53;67,95;65,56;64,89;68,23;62,75;76,57;71,24;69,48;66,64;64,54;64,01;65,73;58,38;73,97;68,87;67,12;63,25;60,51;60,05;19,3;0,0;26,9;17,9;15,1;13,1;12,7;1,97;0,0;2,94;2,28;2,16;1,96;1,77;1,75;0,033;0,015;0,101;0,052;0,045;0,032;0,024;0,022;0,266;0,0;1,73;0,695;0,509;0,188;0,048;0,032;0,024;0,01;0,068;0,06;0,043;0,021;0,013;0,011;0,331;0,195;0,934;0,486;0,426;0,317;0,259;0,242;12,3;1,0;65,2;24,4;20,5;10,6;5,52;4,55;-0,42;-11,38;56,98;38,74;30,4;7,03;-7,91;-8,99
